STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
23290	0,0000	0,0000	0,0000	11,5615	55,6353	-15,2203	9,6086	149,3913	-25,1210	-4,5872	91,9142	3,2367	-26,3561	145,8066	29,5368	-39,5852	184,0757	38,6932	-48,0707	202,4155	43,4352	17,5200	17,5200	30,0277	163,7085	-18,1750	35,8328	223,0654	-24,7049	39,1243	247,9053	-27,2865	39,5143	260,3734	-29,0254	7,8300	24,8064	12,4032	11,9743	171,9714	-36,6389	14,6753	222,9940	-50,6478	10,5197	261,8435	-49,7230	9,0483	281,2908	-48,5012	14,8900	24,4375	20,2188	-0,7485	164,0000	-58,9598	-16,4859	213,8127	-60,1442	-17,1818	236,4902	-63,4507	-15,6547	247,7252	-65,1435	15,6600	24,5904	20,2952	-23,3005	153,1250	-62,9275	-26,9216	186,2913	-70,1463	-28,4936	211,0253	-77,6380	-31,9527	223,3592	-79,5100	20,6600	22,4719	11,2360	1,00	1,00	1,00	1,00	1,00	127,60	133,93	122,04	125,75	104,11	115,01	133,96	109,13	100,78	
23730	0,0000	0,0000	0,0000	14,6481	54,8030	-15,5782	10,5832	148,6380	-23,9738	-3,5051	90,2779	2,5765	-30,3084	143,7626	24,7337	-46,6579	181,4435	30,7512	-58,5177	198,2264	27,8321	16,9950	16,9950	30,1790	163,3770	-15,6710	35,0308	222,9957	-20,3253	37,9068	247,9596	-22,0712	38,1128	260,4761	-23,4583	7,9000	24,7884	12,3942	12,9333	171,4842	-34,9578	14,0925	222,9478	-47,4879	8,1905	261,5438	-45,7781	5,8052	280,8689	-44,1330	13,8400	24,4375	20,2188	1,6786	163,5833	-58,0779	-18,5960	211,7408	-57,6695	-36,8046	216,1202	-44,4424	-43,8637	212,4785	-36,1762	11,5300	52,4400	18,2200	-20,3061	152,1709	-63,4662	-24,4462	185,5362	-69,3693	-26,1996	210,5182	-75,9417	-29,7977	222,8551	-77,5063	19,9600	22,8391	11,4195	1,00	1,00	1,00	1,00	1,00	125,87	127,07	67,19	111,93	99,59	115,18	133,84	84,79	100,02	
24160	0,0000	0,0000	0,0000	12,4261	55,0597	-16,5629	5,3194	148,6053	-26,0465	-6,3222	90,2176	1,5988	-30,6528	144,0779	25,6137	-46,2349	182,1352	31,2749	-56,5855	185,8349	13,6687	14,6550	14,6550	24,6649	164,0329	-18,4405	23,3795	223,9363	-21,4731	23,6799	249,0996	-22,5593	22,5841	261,6046	-23,5801	3,2100	24,7696	12,3848	6,6994	171,3599	-37,3774	1,0807	222,9872	-47,8486	-9,2739	260,5051	-44,3175	-13,8502	279,3332	-41,7914	7,7500	24,4671	20,2335	-4,8942	162,8150	-60,0962	-33,4119	206,3571	-55,5188	-48,8391	198,0505	-40,7323	-50,2469	188,4036	-34,7018	1,7300	74,8001	29,4000	-26,6531	150,6803	-64,7700	-33,6313	183,2404	-72,2711	-37,3528	207,5967	-80,2232	-41,8627	219,5172	-82,4903	18,4900	23,3871	11,6936	1,00	1,00	1,00	1,00	1,00	115,74	116,81	48,85	102,95	82,44	114,34	133,06	68,89	102,18	
24590	0,0000	0,0000	0,0000	12,2889	55,2381	-16,0543	4,7581	148,8724	-24,2018	-6,4066	90,0768	2,7607	-31,9056	143,6828	26,1159	-48,3021	181,4384	31,4766	-59,3638	185,9835	14,5135	14,9100	14,9100	24,1205	164,2665	-16,5750	21,8366	224,2051	-17,6281	21,7231	249,3909	-17,8941	20,4174	261,9023	-18,4941	2,0200	24,7791	12,3896	5,9471	171,7818	-35,2360	-0,7367	223,5119	-44,4922	-11,6961	260,7537	-40,0099	-16,5626	279,4393	-37,0182	6,7700	24,4959	20,2479	-5,8353	163,5020	-57,9545	-34,2123	207,1089	-53,1507	-50,0815	199,8928	-38,2613	-52,1581	190,6364	-31,8265	2,4300	71,8256	27,9128	-27,5942	151,3518	-62,5818	-34,6569	183,9902	-69,6443	-38,3833	208,4212	-77,3575	-42,8641	220,3737	-79,5076	18,7000	23,6311	11,8155	174,00	1,00	1,00	1,00	1,00	114,97	114,98	47,13	101,46	83,59	114,25	132,92	71,01	102,17	
25020	0,0000	0,0000	0,0000	13,1096	55,7359	-13,4724	16,5072	149,4871	-22,9209	-1,6587	92,7581	4,6506	-22,2669	149,7369	24,5957	-35,0520	189,1055	27,7020	-45,5411	194,1425	10,5161	15,0600	15,0600	37,4264	162,6587	-15,2453	40,6697	222,5576	-15,8832	42,8729	247,6479	-15,9651	42,7290	260,2296	-16,4878	0,2700	24,7791	12,3896	20,4513	171,9474	-34,2328	19,2059	224,0259	-43,8510	12,1031	262,2274	-39,6941	9,1633	281,3351	-36,8613	5,9300	24,5100	20,2550	8,0505	164,7546	-56,9916	-17,1520	210,2201	-51,7467	-33,6521	204,3648	-36,9468	-36,6043	195,3695	-30,4843	0,5100	70,8441	27,4221	-14,9092	155,1235	-61,7407	-18,1222	188,2338	-69,3799	-18,9120	212,7908	-77,5382	-21,9488	225,1399	-79,9534	18,7000	23,7456	11,8728	1,00	1,00	1,00	1,00	1,00	113,53	113,31	41,98	98,50	83,44	113,99	132,79	70,59	102,25	
25450	0,0000	0,0000	0,0000	11,6451	55,7418	-14,7497	13,6217	149,2637	-26,6225	-3,4231	93,0134	2,6057	-28,3590	149,5606	18,4245	-43,7901	188,0750	19,7389	-55,0007	205,1901	16,2462	16,6200	16,6200	34,4461	162,9128	-19,5406	39,8202	222,4759	-24,2983	42,9282	247,4053	-26,1217	43,2349	259,9197	-27,5042	3,9800	24,8064	12,4032	17,1176	171,4801	-38,5505	17,8631	222,9353	-51,1361	12,2204	261,5557	-49,1606	10,0067	280,8915	-47,4148	9,5000	24,4671	20,2335	4,5483	163,5376	-60,9670	-11,7652	213,1739	-61,4642	-14,2449	235,9081	-63,0925	-13,9597	247,3571	-63,5926	11,9500	19,5244	17,7622	-18,3311	153,4749	-65,1887	-20,0639	186,8672	-72,0495	-19,7862	211,5950	-79,7156	-22,2263	224,1325	-81,8216	20,3100	23,8764	11,9382	1,00	1,00	1,00	1,00	1,00	120,66	118,36	99,18	105,12	98,36	114,55	133,31	108,40	99,69	
25880	0,0000	0,0000	0,0000	12,4874	55,4911	-14,9889	15,6833	148,9280	-27,2129	-2,1447	93,0155	2,1866	-21,0638	148,2036	27,9828	-32,0671	187,2429	36,8062	-40,3123	206,1157	39,3721	17,4750	17,4750	36,6618	162,3371	-20,1333	44,6791	221,5325	-25,6494	48,8920	246,2724	-27,7872	49,7560	258,7408	-29,3320	5,8000	24,8064	12,4032	19,4900	171,0505	-39,2163	23,5802	221,8968	-53,5051	20,3398	260,8357	-52,9241	19,3231	280,3199	-51,8728	12,8600	24,5100	20,2550	6,8742	163,1832	-61,6311	-7,1644	213,4273	-64,4994	-7,5265	236,0831	-67,9863	-5,9480	247,3194	-69,6139	14,8200	22,9551	19,4776	-16,1200	153,3970	-65,8693	-17,7363	186,5115	-73,9805	-17,3100	210,9286	-82,5740	-19,6935	223,3786	-85,1959	20,8000	23,9596	11,9798	1,00	1,00	1,00	1,00	1,00	124,91	131,86	121,48	127,44	104,11	115,00	133,74	109,30	100,78	
26310	0,0000	0,0000	0,0000	14,0087	55,5000	-13,5415	5,6704	149,2611	-18,9649	-6,7897	89,3697	4,8285	-33,7882	138,6609	35,0039	-49,8144	174,9235	47,2990	-60,1377	192,3189	51,9443	17,5800	17,5800	24,0573	164,6182	-9,1616	25,5001	224,5885	-9,6968	26,9434	249,7340	-9,6785	26,4610	262,3055	-10,2437	6,5700	24,8064	12,4032	7,4211	172,5752	-29,0332	6,3911	224,4673	-39,6344	-1,6375	262,6115	-36,8696	-5,1184	281,7123	-34,6760	13,5600	24,5100	20,2550	-2,2440	164,9838	-52,9589	-22,8645	212,9813	-53,8619	-25,9264	235,5988	-56,0189	-25,6776	247,0280	-56,8580	14,6800	23,4624	19,7312	-23,3272	152,7258	-59,8657	-28,9816	185,7393	-66,4314	-31,3221	210,4696	-73,7227	-35,2306	222,6092	-75,9388	20,8000	23,9799	11,9900	1,00	1,00	1,00	1,00	1,00	127,53	136,09	126,56	133,76	105,89	115,27	133,82	109,44	101,48	
26740	0,0000	0,0000	0,0000	26,3461	112,3921	-31,5889	10,0425	302,6933	-49,6163	-14,7878	182,9351	4,0328	-81,8577	290,6268	31,4251	-123,0675	364,3493	31,4295	-149,1021	380,8523	2,5649	16,8750	16,8750	48,0444	334,4758	-31,7376	46,7410	456,5117	-33,9168	47,8887	507,7448	-34,3667	45,9820	533,2631	-35,6987	3,7700	24,7791	12,3896	13,3660	349,2840	-71,9977	-13,5763	452,8585	-84,8186	-74,7449	419,9514	-46,1184	-82,7597	383,9503	-31,2781	1,3500	64,3025	24,1513	-7,4692	332,0818	-119,5919	-61,2176	423,7773	-117,4830	-78,3089	467,1728	-116,6932	-84,5190	489,5825	-114,8992	6,4900	15,3900	15,6950	-50,7925	306,8584	-131,7041	-64,1936	372,3686	-150,4620	-70,3087	421,1441	-169,3912	-78,9068	445,1670	-175,9230	20,3800	24,0784	12,0392	653,00	1,00	1,00	1,00	1,00	250,50	74,54	172,60	202,29	184,82	233,77	124,70	219,39	210,15	
27180	0,0000	0,0000	0,0000	23,2738	99,8175	-27,5325	8,1455	268,6451	-41,9956	-13,1937	161,9792	4,8285	-67,3887	255,8628	43,4976	-100,9521	322,2017	52,5352	-118,0795	326,8401	19,5595	16,1850	16,1850	41,8568	296,8078	-26,1338	31,7621	404,5206	-22,7265	29,0691	449,8486	-20,9156	25,5379	472,2944	-20,9866	1,3400	24,8400	12,4200	10,8194	310,1344	-61,5127	-21,6499	399,8470	-67,2427	-75,6594	371,9427	-31,5273	-84,8760	341,1628	-17,0197	7,1600	57,0836	20,5418	-7,8925	295,1735	-103,7174	-55,6090	376,4243	-100,8947	-68,1395	415,8307	-101,9327	-71,6698	436,2087	-101,8101	6,6300	20,2911	18,1455	-46,3069	272,7677	-114,3851	-58,9250	330,4048	-132,0260	-64,8084	373,2866	-149,5870	-72,6611	394,3845	-155,8060	20,5900	24,1719	12,0859	670,00	1,00	1,00	1,00	1,00	208,39	51,44	169,84	193,33	152,01	205,47	120,56	195,00	187,86	
