STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
430	0,0000	0,0000	0,0000	21,8730	20,4647	50,5917	73,6221	60,3022	118,5410	54,2462	49,2462	56,8415	59,4283	109,8868	75,8493	64,5832	145,5785	96,3670	68,5331	163,8661	105,3292	16,6500	16,6500	63,7398	79,2954	133,0674	97,7408	107,6160	173,5328	111,3584	119,9098	190,7733	119,2052	125,2853	199,0185	1,0600	24,6156	12,3078	83,9625	63,3947	141,5825	111,2939	79,8711	183,8346	136,4473	99,6589	206,2278	148,4639	110,3368	217,3190	12,0200	24,8151	20,4076	91,1691	37,5924	143,8488	129,5781	57,1624	173,3291	141,4190	65,6282	191,0273	145,6486	70,3001	200,5960	18,6700	24,7599	20,3799	104,5941	22,1386	128,9211	126,0291	32,5923	153,3177	140,4549	38,5298	173,9639	149,7417	42,1278	182,2231	19,3300	24,9100	12,4550	1,00	1,00	1,00	1,00	1,00	113,29	147,63	154,20	165,31	104,53	113,04	133,65	109,64	100,90	
870	0,0000	0,0000	0,0000	23,2236	38,6927	37,6857	67,2620	109,5229	81,5671	39,9540	78,5099	30,6078	22,1916	138,8307	41,1545	15,8731	177,2541	55,4767	13,3440	197,1112	60,9216	16,6500	16,6500	54,0106	125,7615	96,7365	80,8968	173,2594	121,5673	91,5028	193,3562	132,4037	97,9472	203,0447	137,2049	0,9200	24,6156	12,3078	80,5914	121,4031	99,6936	107,4395	156,1077	129,3318	125,9707	188,5767	140,6469	134,3807	205,2666	146,3159	12,0900	24,8236	20,4118	98,7683	101,7087	101,8246	130,6256	140,7521	115,5357	141,5366	156,8425	127,6658	145,5224	164,7708	134,9135	18,6700	24,7696	20,3848	113,4056	89,9378	84,8227	133,4001	113,0613	99,9695	148,4070	128,5702	114,2478	156,8977	137,2493	118,7182	19,2600	24,9159	12,4579	1,00	1,00	1,00	1,00	1,00	114,07	148,35	154,89	165,93	104,91	113,06	133,66	109,65	100,91	
1300	0,0000	0,0000	0,0000	24,0323	40,3015	35,4247	64,8228	114,4249	76,9426	33,8556	82,4263	28,7605	6,1133	138,1202	42,6849	-5,6483	174,6450	58,4649	-11,3315	193,6394	64,5692	16,5600	16,5600	52,2123	127,7851	95,1603	75,8422	176,6564	120,6300	85,1349	197,1889	131,8486	90,8535	207,3189	136,6578	0,9000	24,6400	12,3200	79,2565	127,1681	93,5758	105,6535	163,6479	121,4338	121,2519	197,7599	132,3305	128,1554	215,1411	137,9565	12,5100	24,8236	20,4118	100,0130	110,2240	91,3676	128,0993	152,7207	102,8765	138,5749	169,5692	114,3429	142,5877	177,6014	121,4601	18,8100	24,7599	20,3799	113,0735	101,5723	71,4567	132,0653	126,5450	84,8572	147,0522	143,3202	97,6475	154,9406	152,8940	101,3244	19,1200	24,9159	12,4579	1,00	1,00	1,00	1,00	1,00	125,80	159,07	164,88	175,09	110,58	113,46	133,71	109,64	100,97	
1730	0,0000	0,0000	0,0000	24,5302	49,9329	19,0190	78,5251	117,9805	55,5728	65,5415	58,1948	31,8750	117,2140	83,0011	3,9459	148,6762	106,5825	-9,3013	165,5914	116,9240	-15,4078	16,6050	16,6050	87,0393	137,3402	40,6686	123,1835	180,6035	61,1003	138,2760	199,1535	68,9696	145,8403	207,8089	74,0996	1,8100	24,6156	12,3078	84,2480	139,7049	67,5185	107,7643	181,3087	90,3180	135,2471	204,6255	105,3757	149,3340	216,4151	112,0085	12,8600	24,8151	20,4076	66,7607	135,4856	87,4990	100,8179	163,6326	115,3411	112,3315	181,1821	124,5365	117,4284	190,9536	127,6694	18,8100	24,7791	20,3895	63,1769	116,0621	103,3662	80,9137	139,1980	121,0880	91,4691	158,6256	134,5332	98,6401	166,2132	142,1760	19,1200	24,9159	12,4579	1,00	1,00	1,00	1,00	1,00	129,08	162,47	168,14	178,17	112,34	113,77	133,75	109,71	101,15	
2160	0,0000	0,0000	0,0000	20,4942	53,7161	12,3014	69,0111	127,6956	44,7858	58,9578	64,5325	30,1624	117,6380	81,4765	11,8604	153,2607	100,7229	2,8025	171,7225	109,9394	0,6622	16,7850	16,7850	80,2641	144,1954	28,3376	113,6867	190,4989	46,6265	127,7638	210,1942	53,5360	134,6083	219,6425	58,2620	1,4600	24,6156	12,3078	73,1014	151,2475	53,5023	93,3274	196,4630	72,2155	118,3862	222,3504	87,3021	131,4076	235,2680	94,0107	12,8600	24,8151	20,4076	52,4595	150,4571	70,7101	81,6457	183,5726	98,6181	91,6824	202,6378	106,4210	96,3206	212,8829	108,6121	19,0200	24,7884	20,3942	45,9062	134,1141	88,9269	60,9568	160,1707	105,0036	69,5498	181,7619	116,3879	75,5166	190,6452	123,6606	19,0500	24,9271	12,4635	1,00	1,00	1,00	1,00	1,00	129,34	161,39	167,14	175,78	113,19	113,75	133,75	109,89	101,12	
2590	0,0000	0,0000	0,0000	22,2615	53,1452	11,6909	74,8575	123,3987	46,0420	60,8844	61,1728	30,6447	123,2664	68,2016	19,4903	162,3794	81,1957	14,7230	182,0473	87,7449	15,5177	17,0550	17,0550	87,6540	139,1877	30,0308	123,5229	183,1941	49,3268	138,6600	201,9267	56,6583	145,9767	210,9053	61,5878	1,8100	24,6279	12,3139	80,3210	146,5569	55,0548	102,7765	190,4774	74,3002	128,9654	214,8105	90,0391	142,5703	226,9209	97,0864	13,4900	24,8236	20,4118	59,2201	147,0815	71,7067	89,7603	178,1349	100,5206	100,8068	196,4839	108,6678	106,0409	206,3998	111,0241	19,3000	24,8064	20,4032	51,0739	131,1140	89,6106	67,1761	156,1493	106,2794	76,7085	177,1411	118,0303	82,9724	185,6223	125,5292	19,4700	24,9375	12,4688	1,00	1,00	1,00	1,00	1,00	136,35	166,08	170,23	177,48	117,02	113,83	133,82	109,93	101,27	
3020	0,0000	0,0000	0,0000	15,2572	54,4768	16,0025	54,5157	125,5298	63,8763	47,4294	63,3047	44,3289	110,0116	72,2318	52,6364	148,3368	86,2374	60,1450	166,5663	93,2775	67,1067	17,2350	17,2350	70,3220	142,1785	51,9444	98,0216	186,9798	80,5971	109,9127	206,0704	91,9077	115,3075	215,1832	98,7120	1,9500	24,6279	12,3139	56,5720	148,6073	74,3914	71,4028	193,0147	99,1222	91,6091	218,0839	121,2327	102,4162	230,6011	131,6219	14,0500	24,8319	20,4160	31,9244	147,9541	85,1089	52,8855	179,4447	121,1113	60,7391	198,0019	132,0214	64,7870	208,0507	135,7506	19,5800	24,8236	20,4118	20,1369	131,2350	100,0549	30,3780	156,3444	120,7554	35,7008	177,3233	134,9379	39,4744	185,8085	143,9467	19,4700	24,9471	12,4735	1,00	1,00	1,00	1,00	1,00	135,97	164,73	168,06	174,98	116,64	113,78	133,88	109,91	101,35	
3460	0,0000	0,0000	0,0000	6,2100	55,4824	18,4315	28,9958	128,2926	73,7592	31,7915	66,3827	52,2269	91,7133	77,5761	70,9170	127,6905	92,8422	84,8438	144,2360	100,3972	94,8191	17,3700	17,3700	44,9102	146,7829	65,1438	62,5044	193,0252	99,0185	70,2432	212,7751	112,5769	73,4128	222,1305	120,3792	1,9500	24,6519	12,3259	26,8198	151,0860	84,8537	32,3781	196,0074	112,3266	45,6485	222,3023	137,9802	53,0928	235,5215	150,2783	14,4000	24,8319	20,4160	0,8550	147,6998	90,9489	11,4984	179,8182	130,7273	15,2625	198,6658	143,2044	17,4999	208,9279	147,7817	19,6500	24,8319	20,4160	-11,6529	129,4220	103,2507	-7,9659	154,4849	126,1008	-7,4814	175,2507	141,5325	-6,2974	183,6650	151,2894	19,0500	24,9516	12,4758	1,00	1,00	1,00	1,00	1,00	143,14	172,17	175,06	181,06	120,42	113,81	133,92	110,06	101,60	
3880	0,0000	0,0000	0,0000	4,3419	55,7035	18,2988	23,1737	128,9458	74,5359	27,9758	67,0411	53,3455	86,6235	78,5496	75,5543	121,6480	93,9738	91,5774	137,6088	101,5446	102,4529	17,4300	17,4300	39,2451	147,6489	66,7071	54,5346	193,9760	101,5701	61,3343	213,7709	115,5596	63,9883	223,1383	123,5377	1,6000	24,6636	12,3318	20,0963	151,7269	85,4408	23,5548	196,8115	112,9908	35,0837	223,3815	139,1967	41,6825	236,7487	151,8135	14,4700	24,8319	20,4160	-6,0983	147,9751	90,1909	1,8926	180,3085	130,4139	4,6917	199,2290	143,0337	6,5233	209,5305	147,7021	19,6500	24,8319	20,4160	-18,9624	129,5414	101,8771	-16,9709	154,6539	124,8829	-17,6918	175,4208	140,3039	-17,1944	183,8512	150,1059	18,9800	24,9559	12,4780	1,00	1,00	1,00	1,00	1,00	143,70	172,97	175,76	181,68	120,94	113,75	133,92	110,11	101,76	
4310	0,0000	0,0000	0,0000	1,6562	56,1984	17,1924	12,7995	134,8500	67,9016	21,7731	71,6221	52,8685	75,8732	89,9839	81,1750	107,1470	109,6111	100,0981	120,8407	119,3738	112,2435	17,4900	17,4900	28,7424	153,5206	59,7396	39,0519	203,3245	91,4995	43,8024	224,5379	104,1960	45,3716	234,6641	111,5065	1,5300	24,6519	12,3259	7,9289	158,3282	76,4113	7,2602	205,8078	99,8383	15,4653	235,1245	124,3096	20,4368	249,8600	136,1230	14,6100	24,8319	20,4160	-18,4096	153,8017	79,3412	-14,9651	189,9669	116,8566	-13,9285	210,0594	127,8246	-12,8782	220,8139	131,6334	19,7900	24,8400	20,4200	-31,4972	135,8829	91,5677	-32,4885	163,1157	112,0923	-35,3563	185,1847	125,2957	-36,0391	194,5151	134,2329	19,4000	24,9600	12,4800	1,00	1,00	1,00	1,00	1,00	137,80	166,37	168,96	175,33	117,81	113,69	133,94	110,05	101,71	
