STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
430;0,0000;0,0000;0,0000;55,7952;1,7121;-18,4541;135,9560;-24,3261;-60,6195;71,3061;-24,9822;-49,4733;88,4307;-50,3635;-105,3999;109,9846;-67,4837;-136,4432;118,6254;-76,9441;-152,7581;12,6300;12,6300;146,8712;-9,1214;-78,4818;191,6635;-28,1972;-113,4842;210,3255;-35,7685;-128,5899;219,5840;-40,7905;-135,4823;4,7000;23,8119;11,9059;161,0207;-27,1188;-63,9854;210,3223;-36,7868;-80,7026;240,2813;-50,8680;-101,4344;254,9826;-57,3463;-112,5390;15,1000;24,8319;20,4160;165,3628;-35,3547;-38,7642;199,1126;-63,8121;-66,6626;217,0607;-71,3222;-78,7681;226,2997;-73,4388;-85,2046;11,4600;22,0071;19,0035;155,1079;-53,7704;-24,7087;185,8174;-65,5253;-33,7984;210,3077;-72,3092;-38,6764;221,2698;-78,3570;-41,9401;21,9200;24,2775;12,1388;1,00;1,00;1,00;1,00;1,00;108,62;143,51;127,16;151,06;107,51;113,44;133,99;105,73;102,70;;0.43;2023-08-21 13:31:17.091926000
870;0,0000;0,0000;0,0000;55,7858;2,5367;-18,3874;135,4608;-23,3271;-61,5686;70,8852;-23,7087;-49,9873;87,6359;-48,3955;-106,3363;108,9555;-65,2338;-137,6940;117,4691;-74,5227;-154,1735;12,6300;12,6300;146,3673;-7,8843;-79,2308;190,7117;-26,6869;-114,9441;209,1859;-34,1351;-130,3391;218,3458;-39,1066;-137,3979;4,7700;23,8119;11,9059;160,4805;-26,2428;-65,1580;209,5934;-35,9704;-82,3879;239,3046;-49,8963;-103,5764;253,8811;-56,2816;-114,8973;15,1000;24,8319;20,4160;164,9326;-34,9626;-40,1193;198,2709;-63,1471;-68,7791;216,0762;-70,5639;-81,1500;225,2534;-72,6291;-87,6910;11,4600;22,0071;19,0035;154,6365;-53,5522;-26,3254;185,1965;-65,3705;-35,8272;209,6027;-72,2475;-40,9884;220,4975;-78,3172;-44,4319;21,9200;24,2775;12,1388;1,00;1,00;1,00;1,00;1,00;108,22;143,12;126,65;150,57;107,33;113,44;133,99;105,72;102,71;;0.87;2023-08-21 13:31:17.521926000
1300;0,0000;0,0000;0,0000;55,7683;2,5822;-18,4340;135,6108;-23,4344;-61,2123;71,0374;-24,0473;-49,6284;88,0891;-49,5267;-105,5326;109,6092;-66,7392;-136,5483;118,2311;-76,2415;-152,8489;12,6000;12,6000;146,4216;-8,1947;-79,1084;190,8685;-27,2390;-114,5653;209,3826;-34,7956;-129,8592;218,5709;-39,8121;-136,8488;4,7700;23,8119;11,9059;160,6488;-26,2464;-64,7561;209,8245;-35,9255;-81,8337;239,6258;-49,9855;-102,8060;254,2438;-56,4508;-114,0274;15,1000;24,8319;20,4160;165,1528;-34,5539;-39,5868;198,5698;-63,0284;-67,8659;216,3882;-70,5560;-80,1507;225,5642;-72,6811;-86,6742;11,3200;22,0071;19,0035;154,9728;-52,9952;-25,5106;185,5967;-64,8110;-34,8076;210,0397;-71,6469;-39,8472;220,9668;-77,7165;-43,1876;21,8500;24,2775;12,1388;1,00;1,00;2,00;1,00;1,00;107,94;142,82;126,14;150,27;107,18;113,45;133,99;105,67;102,75;;1.3;2023-08-21 13:31:17.961926000
1730;0,0000;0,0000;0,0000;55,7519;2,9268;-18,4299;135,5314;-23,0194;-61,3656;70,9854;-23,7056;-49,6384;87,7221;-49,0536;-105,6965;109,0520;-66,1553;-136,9037;117,5749;-75,6050;-153,2863;12,6450;12,6450;146,2832;-7,7793;-79,2963;190,5341;-26,9469;-114,9301;208,9646;-34,5559;-130,2984;218,1126;-39,5972;-137,3226;4,9800;23,8119;11,9059;160,5648;-25,8023;-64,9627;209,7142;-35,4314;-82,1421;239,4893;-49,4642;-103,1687;254,0927;-55,9158;-114,4167;15,1000;24,8400;20,4200;165,1350;-34,0858;-39,7979;198,4976;-62,6145;-68,0853;216,2836;-70,1752;-80,3963;225,4410;-72,3201;-86,9390;11,2500;21,9724;18,9862;155,0096;-52,5295;-25,6860;185,6029;-64,3367;-35,0925;210,0293;-71,1659;-40,2194;220,9458;-77,2324;-43,5991;21,7800;24,2775;12,1388;1,00;1,00;1,00;1,00;1,00;107,98;143,30;126,68;150,73;107,41;113,42;133,99;105,68;102,71;;1.73;2023-08-21 13:31:18.381926000
2160;0,0000;0,0000;0,0000;55,7424;3,2417;-18,4059;135,1982;-23,1070;-61,6955;70,7021;-23,4657;-49,6828;87,2014;-48,9367;-105,7555;108,4050;-66,1813;-136,9701;116,8592;-75,6923;-153,3529;12,6000;12,6000;145,9479;-7,9205;-79,6729;189,9224;-27,2890;-115,5395;208,2369;-34,9815;-131,0046;217,3243;-40,0645;-138,0774;4,9800;23,8119;11,9059;160,2009;-26,0169;-65,4034;209,2242;-35,8947;-82,8005;238,8343;-50,0773;-103,9594;253,3548;-56,6024;-115,2721;15,1000;24,8400;20,4200;164,8402;-34,3253;-40,2594;197,8322;-63,0937;-68,7381;215,4829;-70,7921;-81,1580;224,5807;-73,0105;-87,7591;11,1100;21,9375;18,9688;154,6837;-52,7182;-26,1037;185,1804;-64,6903;-35,6150;209,5519;-71,6497;-40,8274;220,4243;-77,7749;-44,2431;21,7800;24,2775;12,1388;1,00;1,00;1,00;1,00;1,00;107,68;142,99;126,15;150,45;107,25;113,43;133,99;105,64;102,75;;2.16;2023-08-21 13:31:18.811926000
2590;0,0000;0,0000;0,0000;55,7518;3,3528;-18,3576;135,0765;-23,0628;-61,8463;70,5927;-23,2689;-49,7638;86,7238;-48,3993;-106,0967;107,6646;-65,4530;-137,5923;115,9799;-74,8574;-154,1073;12,7050;12,7050;145,8544;-7,8342;-79,7712;189,7938;-27,1576;-115,7051;208,0948;-34,8291;-131,1966;217,1721;-39,9042;-138,2879;4,9100;23,8119;11,9059;160,0658;-26,0358;-65,5943;209,0385;-35,9944;-83,0874;238,5805;-50,1805;-104,3389;253,0679;-56,7033;-115,6953;15,1000;24,8400;20,4200;164,7064;-34,4652;-40,4908;197,5723;-63,2100;-69,1387;215,1833;-70,9083;-81,6148;224,2659;-73,1258;-88,2372;11,1100;21,9375;18,9688;154,5072;-52,8859;-26,4019;184,9631;-64,9274;-35,9562;209,3110;-71,9500;-41,1946;220,1626;-78,0999;-44,6317;21,7800;24,2775;12,1388;2,00;1,00;1,00;1,00;2,00;108,22;143,52;126,76;151,16;107,51;113,43;133,99;105,63;102,79;;2.59;2023-08-21 13:31:19.251926000
3020;0,0000;0,0000;0,0000;55,7355;3,5395;-18,3719;135,0632;-22,7773;-61,9150;70,5927;-23,0892;-49,7645;86,0316;-47,9502;-106,4101;106,5719;-64,8016;-138,2761;114,6789;-74,1085;-154,9491;12,7500;12,7500;145,7942;-7,5486;-79,8678;189,7383;-26,8375;-115,8145;208,0402;-34,4952;-131,3118;217,1207;-39,5628;-138,4044;4,9100;23,8119;11,9059;160,0541;-25,7083;-65,6859;209,0268;-35,5957;-83,2195;238,5726;-49,7505;-104,4864;253,0601;-56,2591;-115,8509;15,1000;24,8400;20,4200;164,7365;-34,1016;-40,5781;197,6405;-62,8438;-69,1849;215,2675;-70,5251;-81,6489;224,3562;-72,7318;-88,2664;11,1100;21,9724;18,9862;154,5862;-52,5256;-26,4582;185,0619;-64,5349;-35,9900;209,4238;-71,5207;-41,2118;220,2889;-77,6552;-44,6344;21,7800;24,2944;12,1472;1,00;1,00;1,00;1,00;1,00;109,37;144,90;128,37;152,76;108,19;113,43;133,99;105,66;102,83;;3.02;2023-08-21 13:31:19.681926000
3460;0,0000;0,0000;0,0000;55,7370;3,3898;-18,3956;135,1611;-22,9087;-61,7736;70,6754;-23,2903;-49,7059;86,1281;-48,1434;-106,3511;106,6236;-64,9307;-138,2797;114,7083;-74,2097;-154,9791;12,8700;12,8700;145,8921;-7,7061;-79,7485;189,8784;-26,9770;-115,6533;208,2020;-34,6201;-131,1321;217,2972;-39,6776;-138,2131;4,9100;23,8336;11,9168;160,1612;-25,8105;-65,5053;209,1717;-35,6645;-82,9520;238,7665;-49,8245;-104,1472;253,2787;-56,3378;-115,4775;15,1000;24,8400;20,4200;164,8239;-34,1372;-40,3716;197,8049;-62,8901;-68,8788;215,4581;-70,5710;-81,3060;224,5578;-72,7778;-87,9083;11,1100;21,9724;18,9862;154,6834;-52,5432;-26,2214;185,1821;-64,5151;-35,7266;209,5573;-71,4676;-40,9309;220,4336;-77,5887;-44,3416;21,7800;24,2944;12,1472;1,00;1,00;1,00;1,00;1,00;109,54;145,19;128,71;153,07;108,34;113,45;133,99;105,65;102,79;;3.46;2023-08-21 13:31:20.111926000
3880;0,0000;0,0000;0,0000;55,7614;3,3681;-18,3255;134,9169;-23,8304;-61,6395;70,4579;-23,6904;-49,4249;85,6223;-49,1555;-105,8759;105,8932;-66,3387;-137,7373;113,8571;-75,8074;-154,3881;12,9600;12,9600;145,7034;-8,8606;-79,7760;189,5409;-28,5951;-115,6107;207,8033;-36,4353;-131,0632;216,8638;-41,5860;-138,1216;4,7700;23,8336;11,9168;159,8895;-26,9255;-65,4004;208,7961;-37,2506;-82,8661;238,2516;-51,7914;-103,9975;252,6960;-58,4999;-115,3003;15,1000;24,8400;20,4200;164,5566;-35,0531;-40,2025;197,2885;-64,2740;-68,5202;214,8639;-72,1801;-80,9163;223,9343;-74,5050;-87,5186;11,1100;21,9724;18,9862;154,3315;-53,2646;-25,8626;184,7410;-65,5334;-35,2747;209,0646;-72,6987;-40,4316;219,8970;-78,9257;-43,7898;21,7800;24,2944;12,1472;1,00;1,00;1,00;1,00;1,00;109,75;145,27;128,80;153,25;108,39;113,49;133,99;105,65;102,84;;3.88;2023-08-21 13:31:20.541926000
4310;0,0000;0,0000;0,0000;55,8557;3,0546;-18,0917;134,2963;-25,4750;-61,8477;69,8844;-24,0365;-49,4698;84,2601;-49,1937;-106,2642;104,0531;-66,4662;-138,3768;111,7576;-75,9263;-155,1541;12,9000;12,9000;145,3655;-10,5813;-79,8761;188,7039;-30,9741;-115,9488;206,7710;-39,0764;-131,4953;215,7092;-44,3602;-138,6109;4,7700;23,8551;11,9276;159,1864;-29,0812;-65,6992;207,8146;-40,3145;-83,3803;236,8958;-55,3041;-104,7157;251,1636;-62,2243;-116,1147;15,1000;24,8400;20,4200;163,7331;-37,5362;-40,5872;195,7591;-67,2219;-69,2267;213,1317;-75,4039;-81,7292;222,1355;-77,8699;-88,3714;11,1100;21,9724;18,9862;153,1454;-55,6487;-26,3858;183,2535;-68,4867;-36,0050;207,4005;-76,1308;-41,3027;218,0850;-82,5601;-44,7523;21,7800;24,2944;12,1472;1,00;1,00;1,00;1,00;1,00;109,89;145,42;129,02;153,42;108,44;113,48;133,99;105,66;102,82;;4.31;2023-08-21 13:31:20.971926000
