STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
62110	0,0000	0,0000	0,0000	21,3377	14,4240	52,8406	70,5246	2,0610	132,2549	54,0629	-9,1872	69,7617	93,8375	-38,5103	110,0367	113,3816	-55,4426	142,4733	111,0789	-66,8008	159,6748	16,6650	16,6650	88,9205	18,9501	139,0019	130,4469	22,2160	182,1197	148,1097	24,2281	199,9397	156,5188	24,0182	209,3011	7,2000	24,3600	12,1800	76,0162	3,4100	157,0577	95,5011	6,2592	206,1994	118,2403	0,4319	237,4103	130,3017	-1,9624	252,5785	20,0000	24,9424	20,4712	51,4174	-4,1658	164,8081	72,1458	-27,1335	206,8694	84,0257	-42,3710	219,1817	91,1306	-50,5245	222,9590	16,5700	12,5769	1,7115	36,9333	-24,0910	158,9050	47,3091	-34,3918	189,7228	55,9774	-44,8459	211,7443	60,9941	-53,5626	219,8804	16,1800	10,6359	5,3179	1,00	1,00	1,00	1,00	1,00	113,03	114,91	68,32	79,43	84,49	117,53	134,41	106,85	104,23	
62540	0,0000	0,0000	0,0000	20,9283	14,3385	53,0277	70,1508	1,4883	132,3434	53,8915	-9,1284	69,6865	98,6880	-35,4344	106,6359	122,0265	-50,6264	137,3825	129,3147	-61,1057	153,7310	16,7700	16,7700	88,3509	18,4903	139,3343	129,3984	21,9000	182,8978	146,8638	23,9518	200,9070	155,1879	23,7452	210,3444	7,6200	24,2944	12,1472	75,5965	2,5757	157,1694	94,9881	5,0013	206,3711	117,7525	-0,9828	237,5342	129,8216	-3,4430	252,6859	20,0000	24,9375	20,4688	51,0731	-5,3707	164,7870	72,3849	-28,2338	206,6134	83,6397	-37,7867	224,1345	90,4270	-42,1759	232,2522	16,9200	6,9375	11,4688	36,8170	-25,3762	158,6060	47,8280	-35,7653	189,1729	54,8316	-42,2956	213,2081	59,0341	-48,4749	223,7676	16,2500	21,8316	10,9158	1,00	1,00	1,00	1,00	1,00	105,23	114,53	89,64	100,02	88,75	117,52	134,41	110,90	104,78	
62970	0,0000	0,0000	0,0000	20,7656	14,2281	53,1218	70,1640	0,0194	132,0965	53,6792	-9,6151	69,3394	107,1455	-30,4993	97,0749	137,4649	-42,3689	122,7791	149,8740	-51,1633	136,8818	16,8450	16,8450	88,4549	16,8426	139,2808	129,2196	19,3402	183,1710	146,5647	21,0318	201,3337	154,8173	20,6460	210,8281	7,7600	24,3439	12,1720	75,6861	0,7221	156,9197	95,2300	2,3498	206,0944	118,0604	-4,1852	237,0985	130,1638	-6,9181	252,1762	20,0000	24,9324	20,4662	51,1518	-7,2336	164,4932	72,9167	-30,5798	205,8168	83,2191	-36,6404	225,3631	89,1281	-38,3946	235,0191	16,9900	18,1356	17,0678	36,7946	-27,0880	158,0633	50,3128	-36,9120	187,8002	58,8157	-42,4294	211,6047	63,7878	-47,9406	222,1997	16,7400	23,6544	11,8272	1,00	1,00	1,00	1,00	1,00	103,19	125,06	116,12	121,25	94,85	117,43	134,41	111,48	102,27	
63410	0,0000	0,0000	0,0000	20,7282	14,1791	53,1511	70,3335	-0,3273	131,9444	53,7535	-9,6500	69,1636	107,8524	-29,5997	96,3586	138,6679	-40,9052	121,7266	151,9586	-49,2435	135,2936	16,9050	16,9050	88,5838	16,5144	139,1905	128,7984	18,6492	183,6062	145,9023	20,2279	202,0070	154,0266	19,7920	211,6096	7,9000	24,4375	12,2188	75,9034	0,2487	156,7608	95,5415	1,6540	205,9062	118,4589	-4,9967	236,8226	130,6041	-7,7851	251,8570	20,0000	24,9159	20,4580	51,4102	-7,8323	164,3368	74,3273	-30,6829	205,3147	84,7227	-35,6160	225,1276	90,5149	-36,5695	234,9653	17,3400	20,7564	18,3782	37,1052	-27,6967	157,8197	52,0986	-36,4015	187,1967	61,5951	-40,9894	210,8228	67,1300	-45,9973	221,3889	18,0000	24,0396	12,0198	1,00	1,00	1,00	1,00	1,00	102,93	125,55	117,77	120,91	95,22	117,29	134,41	111,06	100,48	
63840	0,0000	0,0000	0,0000	20,5319	14,4708	53,1510	70,8587	-0,9101	131,3224	53,8521	-9,3674	68,5308	109,0370	-28,2111	94,3006	140,7396	-38,9326	118,8170	154,8324	-46,9144	131,7765	16,9800	16,9800	89,0456	15,9483	138,6913	129,2004	17,4999	183,1881	146,2721	18,8507	201,6382	154,3846	18,2950	211,2452	7,9700	24,4671	12,2336	76,6194	-0,6830	156,1018	96,6333	0,0938	205,1114	119,8445	-6,8902	235,7356	132,1310	-9,8370	250,6252	20,0000	24,8911	20,4456	52,2438	-9,0593	163,7395	76,8307	-31,4833	203,9809	87,6475	-35,7767	223,7180	93,5243	-36,2796	233,5393	17,8300	22,1100	19,0550	38,0293	-28,9228	157,0213	53,5900	-37,0807	186,2614	63,4507	-41,2483	209,8171	69,2194	-46,0227	220,3669	19,3300	24,1719	12,0859	1,00	1,00	1,00	1,00	1,00	102,80	126,55	119,28	123,20	95,75	117,19	134,41	110,51	99,83	
64270	0,0000	0,0000	0,0000	20,7114	14,4289	53,0927	72,1208	-3,9084	129,9104	53,9296	-10,3166	67,2083	110,5470	-28,7377	90,0047	143,5997	-39,3226	112,7323	158,6512	-47,1663	124,6567	17,1150	17,1150	90,6783	12,4689	137,4388	131,2272	11,9992	181,6015	148,4725	12,5100	199,9321	156,6534	11,5323	209,4471	8,0400	24,4816	12,2408	78,3031	-4,4745	154,5825	99,1535	-5,3909	203,2397	122,7736	-13,5827	233,2457	135,2654	-17,1314	247,8301	20,0000	24,8911	20,4456	53,9386	-12,7156	162,4008	79,3645	-36,0825	201,5702	90,5458	-40,6837	221,0329	96,5816	-41,3031	230,7505	18,2500	22,5664	19,2832	39,3190	-32,1721	155,3684	55,1119	-40,4592	184,4473	65,1443	-44,6941	207,9184	70,9807	-49,4935	218,4193	21,0100	24,2604	12,1302	1,00	1,00	1,00	1,00	1,00	103,15	128,92	123,06	128,39	96,88	117,09	134,41	110,30	99,56	
64700	0,0000	0,0000	0,0000	20,6900	13,8238	53,2557	72,4772	-6,9849	129,1739	53,7884	-11,5673	66,4645	111,8961	-26,8708	87,7502	146,1195	-35,5662	109,5193	162,0000	-42,4865	120,9255	17,2500	17,2500	91,2273	9,0266	136,9977	131,0000	6,4767	181,7832	147,9171	6,1691	200,4184	155,9036	4,7935	210,0470	8,1800	24,6156	12,3078	78,8286	-8,2598	153,7741	100,0129	-10,6474	202,2313	123,7623	-19,7952	231,8517	136,3167	-23,8081	246,2586	20,0000	24,9559	20,4779	54,4519	-16,4981	161,5483	80,7213	-40,9186	199,4927	92,1685	-45,7561	218,7397	98,2779	-46,4186	228,4071	18,0400	23,4624	19,7312	39,6158	-35,6341	154,1097	55,2576	-44,7398	183,0212	65,1906	-49,5915	206,4124	70,9458	-54,6792	216,8206	21,3600	24,2944	12,1472	1,00	1,00	1,00	1,00	1,00	101,07	129,29	125,01	132,80	96,66	116,79	134,41	109,85	99,79	
65130	0,0000	0,0000	0,0000	20,8384	14,4666	53,0274	73,2515	-7,0902	128,3061	53,8522	-11,2647	65,7834	112,7383	-25,7519	85,4414	147,7118	-33,9049	106,2059	164,0175	-40,5675	117,1572	17,3250	17,3250	92,2247	8,7262	135,9887	131,6939	5,4833	180,9983	148,4881	4,9016	199,7381	156,3946	3,3986	209,4140	8,4600	24,6636	12,3318	79,8547	-8,5164	152,8319	101,5353	-11,2780	201,0498	125,5207	-20,7540	230,3761	138,1941	-24,9365	244,6300	20,0000	24,9471	20,4736	55,4908	-16,5713	160,8363	80,8844	-41,9014	198,7815	92,0278	-46,9478	218,1532	98,0017	-47,6769	227,9003	17,9700	24,0591	20,0296	40,4080	-35,5478	153,4849	56,0754	-45,0260	182,2630	66,0546	-50,1227	205,5826	71,7867	-55,3339	215,9426	21,2900	24,3439	12,1720	1,00	1,00	1,00	1,00	1,00	102,48	131,00	129,12	135,95	97,38	116,62	134,41	110,36	100,05	
65560	0,0000	0,0000	0,0000	20,6515	14,3075	53,1436	73,0443	-8,0094	128,2146	53,6456	-11,5694	65,6537	113,4501	-24,0453	83,8653	149,2513	-30,9219	103,6586	166,0578	-36,9976	114,1858	17,5200	17,5200	92,0287	7,7186	136,0496	131,4483	4,2249	181,0840	148,2176	3,5484	199,8430	156,1127	1,9974	209,5205	8,6700	24,6864	12,3432	79,6451	-9,6758	152,7259	101,3208	-12,9159	200,9162	125,2976	-22,6906	230,1515	137,9671	-27,0190	244,3652	20,0000	24,9471	20,4736	55,2748	-17,7892	160,6514	80,2492	-43,5676	198,5730	91,2165	-48,7862	217,9994	97,1070	-49,5939	227,7910	18,1100	24,1900	20,0950	40,1785	-36,6832	153,1174	55,6933	-46,2235	181,9576	65,5411	-51,3597	205,3244	71,2144	-56,5853	215,7094	21,7800	24,3759	12,1880	1,00	1,00	1,00	1,00	1,00	103,48	133,55	133,49	140,31	98,43	116,67	134,41	110,56	100,09	
65990	0,0000	0,0000	0,0000	20,6638	14,0662	53,2041	72,6062	-6,9719	128,9559	53,7431	-11,4167	66,2870	113,6938	-22,9968	84,6120	149,5923	-29,2143	104,4481	166,4198	-35,0058	115,1019	17,5500	17,5500	91,4114	8,9877	136,7555	130,4105	6,4297	182,2179	146,9982	6,1457	201,1481	154,8096	4,7910	210,9227	8,8100	24,6864	12,3432	79,0194	-8,2987	153,5380	100,3258	-10,8072	201,9370	124,1361	-20,0632	231,4762	136,7222	-24,1334	245,8399	20,0000	24,9375	20,4688	54,6449	-16,4973	161,3634	79,3432	-41,8136	199,7749	90,1349	-46,7842	219,3644	95,9277	-47,4612	229,2241	17,9700	24,2431	20,1215	39,7480	-35,5904	153,9339	55,1047	-44,7520	182,9813	64,8049	-49,5931	206,4729	70,4303	-54,6779	216,9536	21,6400	24,3916	12,1958	1,00	1,00	1,00	1,00	1,00	104,40	134,51	134,72	141,33	98,89	116,68	134,41	110,62	100,12	
