STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
4750;0,0000;0,0000;0,0000;-13,8190;17,5520;54,3727;-11,1046;-0,3413;146,8452;7,8497;-5,8985;84,2936;57,1944;-8,8485;124,5463;83,1983;-9,6063;156,8574;96,0826;-12,1890;172,9049;17,3550;17,3550;-0,5177;16,7182;163,1564;9,9423;18,5166;222,1611;14,6607;19,8615;246,8491;16,5556;19,2371;259,2753;9,1600;24,1351;12,0675;-19,2069;-1,2854;170,9411;-27,3506;-3,7471;223,1930;-22,8302;-12,4050;261,0048;-19,8104;-16,1322;279,9329;18,5300;24,9471;20,4736;-43,4190;-10,9361;164,3689;-40,2618;-35,7150;210,2200;-40,9016;-40,4562;232,6257;-41,0831;-40,9703;244,0680;15,5900;24,5904;20,2952;-50,7930;-30,8883;150,6149;-53,5428;-41,2684;182,9904;-58,3237;-46,9555;207,7728;-59,2963;-52,3396;219,4949;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;121,54;157,80;157,18;167,11;110,94;117,43;134,30;109,55;101,51;;4.75;2023-08-21 13:31:33.911926000
5180;0,0000;0,0000;0,0000;-13,8909;17,4660;54,3821;-11,3900;0,1506;146,9706;7,7833;-5,7086;84,5134;57,1619;-8,3274;124,7474;83,1890;-8,8541;157,0444;96,0905;-11,3220;173,0961;17,3550;17,3550;-0,9266;17,3545;163,2097;9,3147;19,5430;222,2395;13,9391;21,0526;246,9358;15,7921;20,5091;259,3721;9,1600;24,1351;12,0675;-19,5636;-0,6806;171,0465;-27,8602;-2,8571;223,2871;-23,4215;-11,2641;261,1651;-20,4451;-14,8626;280,1249;18,5300;24,9471;20,4736;-43,7139;-10,4742;164,4586;-40,5722;-34,9466;210,4751;-41,2532;-39,5482;232,9086;-41,4646;-39,9905;244,3535;15,5900;24,5904;20,2952;-50,9602;-30,5415;150,8044;-53,7673;-40,7349;183,2343;-58,6016;-46,2905;208,0362;-59,5880;-51,6068;219,7880;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,08;158,27;157,55;167,45;111,20;117,42;134,30;109,54;101,51;;5.18;2023-08-21 13:31:34.341926000
5610;0,0000;0,0000;0,0000;-13,5204;16,7200;54,7090;-11,1152;-3,0441;146,8084;7,7410;-7,6880;84,1528;57,1938;-12,4853;124,0938;83,3271;-14,4534;156,2491;96,2320;-17,6356;172,1718;17,3700;17,3700;-0,2361;13,5043;163,4505;10,2798;13,9689;222,4708;15,0316;14,7498;247,1766;16,9212;13,8501;259,5868;9,1600;24,1351;12,0675;-19,2327;-4,3253;170,8836;-27,4179;-7,6800;223,0793;-23,0476;-17,1611;260,7109;-20,0926;-21,3137;279,5604;18,5300;24,9471;20,4736;-43,6074;-13,4255;164,1299;-40,8430;-39,1409;209,4880;-41,5513;-44,3056;231,7978;-41,7360;-45,0392;243,2281;15,5900;24,5904;20,2952;-51,3240;-32,9717;149,9862;-54,2524;-43,9416;182,1509;-59,1308;-50,0348;206,8175;-60,1960;-55,6323;218,4310;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,16;158,36;157,59;167,49;111,26;117,43;134,30;109,54;101,51;;5.61;2023-08-21 13:31:34.781926000
6040;0,0000;0,0000;0,0000;-14,0462;17,2697;54,4049;-11,4601;-0,9350;146,8203;7,6799;-6,1646;84,2971;56,9475;-9,3657;124,6250;82,8875;-10,3417;156,9815;95,7428;-13,0327;173,0344;17,3550;17,3550;-1,0097;16,1258;163,2179;9,2940;17,7743;222,2545;13,9437;19,0584;246,9587;15,8113;18,4006;259,3873;9,1600;24,1351;12,0675;-19,6166;-2,0097;170,8924;-27,8757;-4,7018;223,1149;-23,4003;-13,4678;260,9071;-20,4065;-17,2449;279,8294;18,5300;24,9471;20,4736;-43,7577;-11,7728;164,2260;-40,5403;-36,6779;210,0045;-41,1959;-41,4941;232,3937;-41,3972;-42,0458;243,8340;15,5900;24,5904;20,2952;-50,9854;-31,7174;150,3834;-53,7468;-42,2227;182,7175;-58,5497;-48,0212;207,4698;-59,5170;-53,4505;219,1715;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;121,79;157,84;157,04;166,94;111,02;117,43;134,30;109,54;101,50;;6.04;2023-08-21 13:31:35.211926000
6470;0,0000;0,0000;0,0000;-14,1191;17,1039;54,4384;-10,7719;-0,3918;146,9663;8,2475;-5,6205;84,4061;57,8250;-7,3829;124,4417;83,9810;-7,5169;156,6385;97,0178;-9,7737;172,6117;17,3550;17,3550;-0,6517;17,0165;163,2049;9,7291;19,2472;222,2088;14,3936;20,7893;246,8955;16,2970;20,2529;259,3246;9,1600;24,1536;12,0768;-18,8115;-1,4840;171,0769;-26,7816;-4,0566;223,3503;-21,9433;-12,4942;261,1725;-18,7821;-16,0898;280,1029;18,4600;24,9471;20,4736;-42,7486;-11,8405;164,5724;-38,7471;-36,3209;210,5178;-39,1915;-40,9840;232,9446;-39,3298;-41,4548;244,3895;15,5900;24,5904;20,2952;-49,5716;-32,0406;150,8960;-51,9614;-42,3755;183,3145;-56,5307;-48,1059;208,1268;-57,3261;-53,4723;219,8704;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;122,22;158,13;157,31;167,23;111,20;117,40;134,30;109,51;101,49;;6.47;2023-08-21 13:31:35.641926000
6910;0,0000;0,0000;0,0000;-15,5790;15,3689;54,5571;-15,0072;-2,5301;147,0659;6,1666;-7,1212;85,1516;52,9174;-9,0943;128,4448;76,8103;-9,5446;162,3518;88,7247;-11,9739;179,1546;17,3400;17,3400;-5,7323;14,9663;163,7095;2,7466;17,0569;223,0213;6,6088;18,5389;247,8496;8,1323;17,9632;260,3291;9,0900;24,1351;12,0675;-23,8232;-3,8795;170,8903;-33,4798;-6,8488;222,8570;-29,7579;-15,3895;260,7821;-27,1672;-19,0236;279,7915;18,4600;24,9516;20,4758;-47,3495;-14,6089;163,5465;-44,4902;-39,2664;209,4821;-45,6149;-44,0526;231,8589;-46,1331;-44,5843;243,2901;15,5900;24,6031;20,3015;-53,3667;-34,8533;149,5611;-56,6346;-45,2896;181,8701;-61,9125;-51,1462;206,5115;-62,9974;-56,5478;218,2156;18,4200;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;118,24;153,65;152,85;162,89;108,99;117,41;134,30;109,53;101,41;;6.91;2023-08-21 13:31:36.071926000
7340;0,0000;0,0000;0,0000;-15,9092;19,5676;53,0980;-13,9412;3,0583;145,8458;6,0205;-2,8174;83,6381;53,8532;-5,2884;125,7067;78,6236;-5,8582;158,9763;90,9511;-8,3316;175,4719;17,3400;17,3400;-4,0789;20,6469;162,0487;5,5800;23,5299;221,1465;9,9459;25,3384;245,8695;11,7013;24,9339;258,3252;9,0900;24,1351;12,0675;-22,3415;2,2151;169,8430;-31,0949;0,1906;222,0148;-26,8214;-7,8381;259,9935;-23,9438;-11,2278;279,0068;18,4600;24,9516;20,4758;-46,1705;-8,2309;163,0899;-42,9106;-32,2560;209,3330;-43,7176;-36,6929;231,7954;-44,0411;-37,0475;243,2406;15,5900;24,6031;20,3015;-52,7725;-28,5809;149,5281;-55,5702;-38,4495;182,0589;-60,4561;-43,8298;206,8891;-61,3957;-49,0269;218,6979;18,4200;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;119,38;154,69;153,75;163,51;109,59;117,42;134,30;109,55;101,35;;7.34;2023-08-21 13:31:36.501926000
7770;0,0000;0,0000;0,0000;-16,8433;18,5126;53,1885;-15,1962;-0,6252;145,4368;5,2110;-4,4414;83,2128;52,9888;-7,6304;125,2959;77,7007;-8,9189;158,5893;90,0245;-11,7470;175,0307;17,3400;17,3400;-5,6718;16,6229;162,1984;3,6238;17,9547;221,4100;7,8293;19,1184;246,1997;9,5222;18,3836;258,6490;9,0900;24,1351;12,0675;-23,7257;-2,2709;169,3468;-32,7582;-5,9110;221,3834;-28,5975;-14,9709;259,1423;-25,7847;-18,8678;278,0681;18,4600;24,9471;20,4736;-47,3690;-12,8404;162,1476;-44,0753;-38,1499;207,6983;-44,9623;-43,2458;230,0175;-45,3521;-43,9361;241,4454;15,5900;24,6031;20,3015;-53,6112;-32,8802;147,9673;-56,4354;-43,7015;180,1916;-61,3720;-49,8488;204,8332;-62,2982;-55,3898;216,4857;18,4200;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;119,92;155,17;154,19;163,78;109,87;117,43;134,30;109,56;101,32;;7.77;2023-08-21 13:31:36.931926000
8200;0,0000;0,0000;0,0000;-17,4740;15,4006;53,9710;-14,6447;-7,5604;145,3131;5,7067;-7,7792;82,9548;53,9417;-10,5577;124,5420;78,9734;-12,1195;157,5834;91,5775;-15,0544;173,7918;17,3400;17,3400;-5,8625;9,3748;162,7839;3,4856;8,5498;221,9961;7,6853;8,8236;246,8123;9,4355;7,6255;259,2176;9,0900;24,1351;12,0675;-23,0098;-10,6137;169,1426;-31,6920;-16,8808;220,9881;-26,9966;-27,3411;258,3196;-23,9465;-31,9073;277,0579;18,4600;24,9516;20,4758;-46,1692;-21,9382;161,5309;-41,5235;-49,0278;205,9248;-42,0823;-55,1265;228,0017;-42,3927;-56,3310;239,3893;15,5200;24,6031;20,3015;-51,5365;-41,6195;146,5151;-53,7145;-53,9475;178,2443;-58,2525;-61,3803;202,6066;-58,8697;-67,4585;214,0089;18,3500;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;120,66;155,86;154,77;164,31;110,23;117,41;134,30;109,54;101,31;;8.2;2023-08-21 13:31:37.361926000
8630;0,0000;0,0000;0,0000;-16,6352;15,7152;54,1455;-15,1959;-7,2531;145,5188;5,3308;-8,4992;83,2296;53,2822;-13,6142;124,9235;78,1354;-16,3898;158,0203;90,5466;-19,9335;174,2561;17,3400;17,3400;-5,6837;9,2689;163,0033;3,4174;8,0696;222,2480;7,5425;8,1725;247,0782;9,1929;6,9070;259,4905;9,0900;24,1351;12,0675;-23,7751;-9,8827;169,3229;-32,9160;-15,6767;221,1449;-28,8418;-26,3081;258,5013;-26,0716;-30,9941;277,2536;18,4600;24,9471;20,4736;-47,4170;-20,1119;161,6434;-44,1679;-47,3869;206,0484;-45,0728;-53,4515;228,1234;-45,4707;-54,6395;239,5100;15,4500;24,6031;20,3015;-53,6555;-39,5351;146,6280;-56,4486;-51,7233;178,3633;-61,3626;-58,9195;202,7238;-62,2767;-64,9533;214,1299;18,2800;24,9711;12,4855;1,00;1,00;1,00;1,00;1,00;120,85;155,98;154,80;164,23;110,31;117,41;134,30;109,53;101,26;;8.63;2023-08-21 13:31:37.791926000
