STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
430;0,0000;0,0000;0,0000;32,7465;10,4208;-47,6875;76,0431;14,2424;-131,2845;28,3721;-2,2220;-89,3472;10,4381;-8,2336;-150,2211;7,4922;-10,9891;-191,5045;3,6782;-13,3126;-211,7579;16,9650;16,9650;75,3224;35,9055;-145,4011;98,8387;46,4641;-199,5239;108,4538;51,5723;-222,2164;113,6480;52,8157;-233,6115;6,0800;24,3111;12,1556;95,0390;17,4934;-147,8875;128,1949;25,8733;-188,2952;143,0796;26,9094;-224,3829;149,8895;28,1301;-242,6414;18,9500;24,9879;20,4939;112,5695;3,0892;-133,4769;129,2871;-3,4524;-182,5044;139,6016;-0,5060;-202,7472;144,7998;2,7521;-212,4205;18,7400;24,0784;20,0392;111,7184;-20,3053;-123,8054;133,5851;-21,8296;-149,9372;152,2799;-21,1738;-167,8079;160,2586;-23,3206;-177,7605;24,5800;24,7884;12,3942;1,00;1,00;1,00;1,00;1,00;130,17;155,08;142,03;160,54;111,68;115,64;134,34;106,97;103,26;;0.43;2023-08-21 13:31:23.131926000
870;0,0000;0,0000;0,0000;33,6154;10,2998;-47,1057;80,3765;16,5967;-128,6619;31,4755;-1,9245;-89,0639;18,2525;-8,5893;-151,0650;18,3212;-11,5123;-192,4417;16,0163;-13,9752;-212,9055;17,1450;17,1450;79,5741;38,4104;-142,5400;104,9035;50,3833;-195,5386;115,2571;56,0762;-217,7621;120,8643;57,6256;-228,9215;5,9400;24,3111;12,1556;99,9647;20,6678;-144,3718;134,5662;30,6284;-183,1770;150,9718;32,6126;-218,5587;158,5299;34,2897;-236,4835;18,9500;24,9879;20,4939;117,3048;6,6383;-129,3733;136,3283;1,2132;-177,6914;147,4005;4,7140;-197,4395;152,8994;8,2423;-206,8483;18,6700;24,0396;20,0198;116,7877;-16,8971;-120,0253;139,7856;-17,3596;-145,2093;159,1938;-15,8601;-162,2493;167,6543;-17,6127;-171,8759;24,5800;24,7884;12,3942;1,00;1,00;1,00;1,00;1,00;127,97;152,30;138,81;157,13;110,34;115,65;134,34;106,97;103,22;;0.87;2023-08-21 13:31:23.561926000
1300;0,0000;0,0000;0,0000;34,9507;12,2989;-45,6313;87,6116;29,7003;-121,8001;35,3860;7,2311;-89,0897;25,7982;10,8000;-152,0082;28,4001;14,2760;-193,2602;27,1446;15,1834;-213,9422;17,0250;17,0250;88,5695;53,5074;-131,8693;120,0190;74,2525;-178,4993;133,0284;83,7517;-197,8387;139,9572;87,2538;-207,7433;8,7400;24,7296;12,3648;108,4031;35,3770;-135,3117;146,0784;50,0804;-169,4686;165,1002;57,1786;-202,8263;174,0084;61,4705;-219,6626;19,1600;24,9879;20,4939;124,1238;18,2880;-121,7731;147,0880;20,8558;-168,5921;160,0139;27,4987;-186,3018;166,4650;32,5028;-194,3362;20,0000;24,5239;20,2619;122,1138;-6,4116;-116,5334;146,7787;-3,5105;-139,9122;167,3866;0,1041;-155,1286;176,4633;-0,2978;-164,3360;24,9300;24,9216;12,4608;1,00;1,00;1,00;1,00;13,00;134,01;154,09;141,76;158,10;111,16;115,93;134,35;107,18;102,97;;1.3;2023-08-21 13:31:23.991926000
1730;0,0000;0,0000;0,0000;44,5565;16,2921;-60,3709;116,9045;48,9486;-154,4315;49,0690;12,1632;-117,1981;50,8050;13,8963;-200,4292;64,7297;16,2046;-252,7421;68,5655;16,1325;-279,5608;15,3900;15,3900;116,2335;80,5726;-166,3116;156,7521;105,3725;-228,5638;167,9883;106,8121;-259,4282;172,2394;103,3298;-274,9213;1,7400;2,9100;1,4550;144,3187;59,3699;-170,0511;193,9078;83,4776;-211,7808;191,6922;58,4315;-256,1635;180,9526;41,8340;-272,2785;17,9000;29,7600;6,8800;165,6253;38,1257;-151,9551;195,9103;42,1215;-212,9322;184,8620;26,5484;-235,9747;173,7298;18,1500;-241,3995;15,2400;52,0884;18,0442;165,4056;5,4934;-146,4964;197,1266;13,0654;-176,8522;207,7524;6,8161;-208,3174;205,1779;-2,0710;-222,4558;22,5500;16,8609;8,4305;1,00;1,00;334,00;1,00;124,00;135,55;115,52;111,89;149,18;138,10;143,31;134,32;108,36;122,57;;1.73;2023-08-21 13:31:24.421926000
2160;0,0000;0,0000;0,0000;76,0063;27,7896;-105,0748;193,0457;71,4789;-277,0930;77,3137;16,3517;-203,1280;68,4059;14,8038;-346,6743;85,9394;14,6316;-438,6103;112,2705;-0,0187;-474,4149;14,7150;14,7150;193,1272;125,2281;-299,8397;194,3721;73,1361;-424,6645;157,4164;32,3189;-410,7569;145,6613;25,1987;-385,9090;45,5800;64,1136;32,0568;239,4003;86,0556;-307,6398;285,5872;64,4213;-415,6475;221,0764;7,1978;-397,5498;193,7547;2,8539;-363,2632;17,7300;69,6729;26,8365;276,3538;48,8958;-277,1153;303,9694;29,8330;-390,0410;266,6096;-3,2765;-403,4584;245,0173;-13,1961;-393,2907;2,1500;71,2361;27,6180;273,9649;-6,9619;-265,2619;316,0396;-5,5731;-329,6864;274,1852;-37,5460;-354,8531;252,5204;-46,8435;-337,6470;12,5400;75,0000;37,5000;1,00;400,00;506,00;1,00;409,00;97,90;137,85;156,13;201,42;224,88;127,39;110,16;152,88;145,62;;2.16;2023-08-21 13:31:24.861926000
2590;0,0000;0,0000;0,0000;62,7773;23,3689;-86,2524;159,6333;60,3141;-227,3171;64,5972;13,6771;-166,9464;64,9347;8,9999;-285,2878;89,6644;3,7776;-358,0927;122,8056;-15,2484;-353,1419;10,0350;10,0350;159,1580;104,5005;-246,2110;145,6388;45,6954;-339,8312;117,1057;19,6931;-313,4394;112,9753;21,9994;-290,5414;57,9700;72,8121;36,4061;197,7991;72,8131;-252,2333;197,5947;18,3909;-334,1578;143,4215;-13,4157;-297,8583;125,4944;-8,8201;-266,6572;49,7200;58,9056;21,4528;228,5078;42,7783;-226,7616;195,1825;-19,1675;-293,5602;161,3015;-37,5947;-275,5534;149,0377;-36,0844;-258,2256;45,1700;66,7764;25,3882;227,1765;-3,2058;-216,8448;225,0061;-36,4274;-270,7653;181,9026;-53,0301;-257,4691;174,0989;-47,2012;-235,4983;34,6400;74,0025;37,0013;1,00;1,00;427,00;1,00;46,00;73,50;86,76;100,65;132,26;151,32;87,42;86,56;101,79;108,79;;2.59;2023-08-21 13:31:25.291926000
3020;0,0000;0,0000;0,0000;53,5180;19,3297;-71,4663;130,6272;39,6746;-194,2804;52,3881;6,1708;-138,1735;47,1375;-1,7170;-236,7886;62,3748;-7,7047;-299,1413;90,0869;-23,8780;-302,2122;12,0900;12,0900;130,2927;75,3520;-212,8039;123,3183;28,7079;-293,1536;98,7190;-1,3153;-288,2941;88,6662;-10,2162;-274,0727;49,9200;47,7609;23,8804;161,9350;47,8918;-216,9794;159,4678;-1,8961;-282,4300;112,2703;-33,0370;-260,3848;92,1197;-34,5376;-237,7455;48,7400;46,2336;15,1168;187,9508;23,9138;-194,7697;156,1590;-31,4168;-244,8903;127,4302;-47,0933;-230,8688;115,9004;-46,5461;-217,3156;45,9400;59,8241;21,9121;186,4699;-13,7933;-183,5619;179,1364;-44,1948;-226,3626;143,7908;-61,4430;-218,0087;134,1525;-59,3081;-200,4960;36,8100;61,1184;30,5592;1,00;1,00;1,00;1,00;1,00;31,31;65,37;91,58;116,38;131,65;103,04;94,23;90,45;99,24;;3.02;2023-08-21 13:31:25.721926000
3460;0,0000;0,0000;0,0000;34,4360;12,7011;-46,1115;81,5309;22,2344;-127,4510;31,9055;2,9928;-88,8203;21,3873;-0,5784;-151,7621;25,5312;-2,9054;-193,0798;29,8927;-7,4865;-212,8896;13,7850;13,7850;81,4464;44,8943;-140,0673;101,8152;46,7975;-196,5864;108,5465;45,9290;-220,8928;111,7394;43,5911;-232,8743;7,3600;17,7100;8,8550;101,2996;26,5839;-142,9689;132,4819;30,3682;-185,7542;144,4205;27,5774;-222,9395;149,5872;26,7285;-241,8035;8,8000;23,2576;19,6288;118,2117;11,1047;-128,8024;129,7167;-0,0738;-178,6337;136,7433;-0,6462;-200,4954;140,1146;0,5905;-211,4048;6,7000;18,8991;17,4496;116,9191;-12,9698;-120,8191;134,3638;-13,1211;-150,2334;149,1078;-12,6218;-171,5692;154,4172;-14,8920;-183,1826;17,1600;21,3900;10,6950;1,00;1,00;1,00;1,00;1,00;98,53;127,80;110,53;128,23;104,16;111,73;133,15;104,64;98,98;;3.46;2023-08-21 13:31:26.151926000
3880;0,0000;0,0000;0,0000;34,6965;11,9133;-46,0055;81,8359;19,9508;-127,3048;31,9705;1,9412;-88,5690;15,4802;0,8503;-150,2035;14,7529;0,7317;-191,7204;15,5869;-2,1284;-212,2673;15,1200;15,1200;82,1560;42,4748;-140,0742;104,9174;48,7737;-195,2428;113,7272;51,3005;-218,7125;118,2862;51,0281;-230,4533;1,8300;22,0071;11,0035;101,6399;23,8145;-142,8389;134,5491;29,6783;-183,9583;148,5237;29,0702;-220,4616;154,8376;29,4278;-238,9560;12,9300;24,2775;20,1388;118,2488;8,1645;-128,5839;134,2482;0,8508;-177,8000;144,2077;3,0113;-198,3446;149,2484;5,8135;-208,2555;13,8400;22,8684;19,4342;116,5258;-15,7820;-120,4285;136,0633;-15,8625;-148,4297;152,9322;-14,7269;-168,0472;159,6436;-16,5341;-178,9726;20,5900;23,6076;11,8038;1,00;1,00;1,00;1,00;1,00;117,06;145,25;133,96;148,55;109,98;113,73;133,73;106,29;100,27;;3.88;2023-08-21 13:31:26.581926000
4310;0,0000;0,0000;0,0000;34,2493;14,0697;-45,7143;80,0803;24,3201;-127,4875;31,0779;4,8171;-88,3994;10,8366;5,2944;-148,8991;7,3553;6,6622;-190,2447;6,2791;4,8813;-210,8973;15,3900;15,3900;79,8572;47,0655;-139,8486;101,6564;56,1669;-195,0003;110,0922;59,9116;-218,4388;114,5119;60,2668;-230,2276;0,7100;22,1439;11,0719;99,5921;28,7813;-143,2209;132,0533;36,3625;-184,4006;145,8142;37,0425;-220,9746;152,0231;38,0522;-239,4760;13,5600;24,4224;20,2112;116,6476;13,1556;-129,4871;132,4696;5,6540;-178,7201;142,4435;7,9514;-199,2373;147,5029;10,8591;-209,1052;13,1400;23,5116;19,7558;115,4255;-10,9521;-121,7439;134,6455;-10,0889;-149,9418;151,3241;-8,1816;-169,6544;157,9941;-9,5951;-180,6595;20,8700;23,8119;11,9059;1,00;1,00;1,00;1,00;1,00;123,11;152,18;141,36;155,37;113,06;114,16;133,81;106,72;100,24;;4.31;2023-08-21 13:31:27.011926000
