STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
430	0,0000	0,0000	0,0000	20,9918	16,9347	-52,2957	31,6562	15,2769	-145,9965	1,5631	2,9128	-88,9622	-41,2603	17,9111	-133,8304	-62,1618	28,8618	-167,9977	-72,9818	32,2409	-185,3919	17,5050	17,5050	26,6730	36,4067	-160,1100	27,5165	47,2742	-219,1228	27,2739	51,9998	-243,8702	27,3454	52,9076	-256,4351	7,6200	22,8096	11,4048	43,5731	16,9017	-168,4416	59,7388	21,0665	-218,7360	59,9527	18,8782	-257,7657	59,3304	18,4306	-277,2964	17,6900	24,2775	20,1388	64,6150	2,1690	-160,4310	66,5301	-15,9713	-209,4101	70,1591	-18,3802	-231,9261	72,0269	-17,8102	-243,2253	14,1900	23,0956	19,5478	66,4795	-20,7821	-149,8157	70,7903	-26,5601	-183,1897	77,1362	-29,3316	-208,1445	78,3757	-32,9896	-220,5040	15,1300	24,9936	12,4968	1,00	1,00	1,00	1,00	1,00	124,66	161,69	163,94	168,51	113,09	116,75	134,22	110,35	100,32	
860	0,0000	0,0000	0,0000	20,6021	16,7381	-52,5102	31,7512	17,0258	-146,1638	1,2511	3,6862	-89,5711	-39,0202	18,8434	-136,6880	-57,8425	29,6977	-172,0706	-66,8466	32,4944	-190,5668	17,2050	17,2050	27,0245	38,4987	-159,8383	28,8304	50,1174	-218,6831	28,9451	55,1010	-243,3794	29,1732	56,1227	-255,9331	7,5500	22,6284	11,3142	43,8005	19,0348	-168,5054	60,3763	24,3049	-218,5592	60,8816	23,0929	-257,6267	60,4145	23,1432	-277,1659	17,9000	24,3111	20,1556	64,6716	3,9505	-160,7099	66,2543	-12,2978	-210,3576	69,8276	-13,8761	-232,9548	71,6962	-12,8898	-244,2246	14,6100	23,1231	19,5616	66,2831	-19,2401	-150,5883	70,9884	-24,0595	-184,0593	77,6379	-26,1342	-209,0013	79,0149	-29,4342	-221,4460	15,7600	24,9936	12,4968	1,00	1,00	1,00	1,00	1,00	118,54	154,21	155,35	161,44	109,24	116,55	134,24	110,03	100,30	
1290	0,0000	0,0000	0,0000	20,7198	16,2480	-52,7597	33,1435	17,9933	-146,4424	1,6548	4,0620	-90,3715	-31,4638	15,6823	-143,8248	-44,8573	23,7416	-182,3882	-49,5172	24,0231	-202,6631	16,9350	16,9350	28,8689	39,8044	-159,8336	30,3867	50,5410	-218,9855	28,4398	52,6454	-244,0710	27,1467	51,5842	-256,5841	5,3800	15,3900	7,6950	45,5407	20,2296	-168,6343	61,7078	24,5322	-219,0343	61,1771	22,0935	-258,1287	60,0303	21,3945	-277,6696	15,6600	22,9551	19,4776	66,1531	4,7065	-160,8113	68,2321	-11,4361	-210,5939	71,6234	-13,4467	-233,2350	73,3016	-12,7777	-244,5830	14,0500	21,4656	18,7328	67,3314	-18,7235	-151,0504	71,7901	-23,4396	-184,6449	78,2875	-25,4976	-209,6863	79,5399	-28,7570	-222,1839	14,5700	24,9831	12,4916	1,00	1,00	1,00	1,00	1,00	97,70	132,79	134,89	140,79	100,15	115,31	134,00	110,41	100,37	
1720	0,0000	0,0000	0,0000	21,0159	16,8614	-53,2297	28,3342	11,1205	-148,4100	-0,1704	1,3454	-89,0448	-36,5675	6,7322	-142,2648	-52,2620	10,5329	-181,1465	-59,0203	9,2848	-201,0439	17,0250	17,0250	22,9785	31,9904	-163,4120	19,9996	36,7958	-223,9955	9,2840	26,4315	-244,7412	2,8649	17,6772	-251,4729	3,8400	13,8129	6,9064	39,5938	11,6835	-171,6377	51,7308	10,2277	-223,9591	45,5305	0,2732	-261,8203	40,8142	-4,7955	-280,3895	13,2100	17,1039	16,5520	61,0595	-3,1513	-163,6728	60,1700	-23,8947	-212,4295	58,6877	-31,2276	-234,4460	56,9820	-33,9686	-245,6151	13,3500	9,4764	12,7382	63,1072	-25,9764	-152,0210	65,4213	-34,3893	-185,5225	70,3195	-39,1894	-210,8695	70,7783	-43,8415	-223,1383	12,8900	24,9471	12,4735	1,00	1,00	1,00	1,00	1,00	80,27	128,30	131,58	141,98	102,00	106,37	133,52	110,92	102,01	
2150	0,0000	0,0000	0,0000	20,7875	16,1362	-52,7074	28,1080	11,6302	-146,7484	-0,4358	1,8806	-88,3370	-40,9531	10,7939	-136,9229	-59,9340	17,0461	-173,3778	-69,0467	17,4990	-192,0549	17,1900	17,1900	23,4019	32,5808	-161,2748	20,9616	39,0319	-220,9605	18,8156	41,2629	-245,9956	17,7514	40,7405	-258,5527	4,5400	20,8791	10,4396	39,2969	12,2228	-169,6491	53,4699	13,9606	-220,7474	51,6015	9,9840	-259,6383	49,8641	8,5863	-279,0800	16,9900	23,5116	19,7558	60,0801	-3,0901	-161,9491	59,2390	-20,0101	-211,4590	61,4148	-22,4377	-234,1873	62,5212	-21,9793	-245,6051	16,1500	21,4656	18,7328	61,4789	-25,8371	-150,7656	64,7709	-32,0339	-184,2222	70,3991	-35,2309	-209,3300	71,2024	-39,0375	-221,6969	16,3200	24,9676	12,4838	1,00	1,00	1,00	1,00	1,00	111,79	147,62	147,43	154,09	107,36	116,00	134,14	109,94	100,21	
2590	0,0000	0,0000	0,0000	19,5571	17,1473	-52,9250	30,8572	19,2581	-146,7515	0,5829	4,1417	-90,3125	-40,5716	15,8179	-137,8507	-60,0690	24,7465	-173,5149	-69,2590	26,5840	-192,0923	17,2950	17,2950	25,5518	40,8603	-160,1174	25,6899	52,0412	-219,2121	24,7348	56,3138	-244,0809	24,3785	56,8509	-256,6901	5,5900	21,1975	10,5988	42,9069	21,9632	-169,0850	59,2698	28,2487	-219,2182	59,1517	26,7145	-258,3658	58,1806	26,4190	-277,9283	17,5500	22,8975	19,4487	64,2200	7,2990	-161,4765	66,2337	-7,7403	-211,6115	69,2696	-9,2976	-234,3408	70,6756	-8,4334	-245,7137	14,8900	21,0000	18,5000	66,4568	-16,0518	-151,7048	71,1228	-21,7447	-185,1227	77,6994	-24,3957	-210,0902	79,0919	-28,0382	-222,4678	13,4500	24,9639	12,4819	1,00	1,00	1,00	1,00	1,00	117,72	153,65	153,89	160,98	110,15	116,37	134,18	110,21	101,47	
3020	0,0000	0,0000	0,0000	28,4891	26,8226	-80,3031	45,4153	31,3348	-222,4188	0,3079	6,6013	-137,0361	-60,2268	20,0174	-211,4696	-88,3855	30,9664	-266,7962	-101,5144	32,5142	-295,4090	17,2350	17,2350	36,3999	63,9200	-242,4746	37,1504	77,1364	-332,6128	15,9666	45,6038	-337,0906	10,0489	32,8056	-324,1693	3,7700	67,1600	33,5800	63,5175	36,1640	-256,2339	82,2967	38,0629	-334,4383	48,6324	-8,7941	-348,3359	29,0504	-28,6347	-338,1677	9,9200	44,3889	14,1945	96,4539	14,8520	-244,8503	96,7363	-9,7000	-320,3021	74,5850	-34,9057	-329,5841	60,9618	-44,7815	-325,1210	12,0200	53,3225	18,6612	100,8980	-20,4876	-230,2518	105,4730	-31,3408	-280,7308	88,2035	-53,3117	-308,3862	74,4674	-67,0992	-311,1549	9,2500	22,8864	11,4432	1,00	169,00	1,00	1,00	1,00	115,21	150,38	182,36	202,83	164,06	107,73	131,38	128,78	135,67	
3450	0,0000	0,0000	0,0000	33,0171	30,7124	-94,1491	49,8598	29,6693	-260,6307	-0,8031	4,1703	-158,8809	-58,8162	6,5138	-256,0679	-81,9862	9,6001	-325,9284	-58,2027	-7,7806	-348,0412	16,8000	16,8000	38,5112	66,6926	-285,3457	-9,9975	-3,0132	-349,5570	-22,1293	-23,6785	-311,8229	-16,3508	-18,5252	-290,8569	53,8400	71,4324	35,7162	70,2647	33,9719	-300,7063	38,6898	-32,5552	-359,1522	7,8078	-56,2566	-301,7557	3,6924	-47,4467	-268,4705	47,2000	56,0000	20,0000	109,2448	9,9958	-287,1261	67,7496	-59,1105	-332,9562	41,7413	-78,5054	-308,4043	32,9679	-77,6480	-290,0701	31,3800	61,6761	22,8381	115,1766	-30,5474	-268,5624	93,3792	-75,0025	-303,4609	59,0485	-103,8774	-293,5297	45,9206	-108,5942	-275,2771	35,4100	35,3729	17,6864	1,00	1,00	1,00	1,00	1,00	71,67	108,33	128,66	162,17	143,95	87,29	90,22	112,56	139,09	
3880	0,0000	0,0000	0,0000	33,2072	34,5281	-99,9555	51,5150	38,4130	-276,6433	-1,6022	6,9034	-169,4762	-67,9254	10,0966	-269,6782	-96,0552	14,7166	-342,5187	-89,3059	3,5820	-379,3976	16,8300	16,8300	38,2376	77,9494	-301,9384	29,4148	71,6907	-414,4658	5,1857	31,1513	-409,7544	0,1398	18,5761	-390,2717	7,2900	67,3521	33,6760	73,1146	44,7490	-319,0025	86,9276	33,7562	-417,2539	45,5076	-25,2879	-402,3919	28,1260	-39,6786	-373,2980	1,1700	59,8241	21,9121	115,2860	20,3121	-305,0927	108,0144	-16,5001	-396,1173	79,3691	-48,7877	-397,9278	64,1170	-59,2077	-386,7305	6,8400	60,1929	22,0965	122,9526	-22,9846	-286,4374	124,2814	-38,0530	-348,9515	92,4412	-70,0584	-367,4402	75,5697	-84,5689	-357,4505	6,5900	42,0761	21,0380	1,00	221,00	1,00	15,00	261,00	91,34	125,30	165,94	188,25	177,77	126,27	126,44	147,67	149,11	
4310	0,0000	0,0000	0,0000	37,7542	35,2863	-107,5020	64,3804	46,6753	-296,4939	1,9412	10,1528	-184,7633	-46,6716	7,9048	-304,6137	-60,2509	7,9274	-387,6839	-29,8402	-12,4464	-408,4532	16,4550	16,4550	52,6279	90,8319	-322,3251	-3,7206	14,1391	-398,0984	-16,8386	-10,7826	-355,4904	-9,7582	-5,5188	-331,5255	56,7800	72,0225	36,0112	89,4709	54,5131	-340,9189	53,2177	-19,1844	-410,1562	22,9910	-40,1937	-339,9821	23,5356	-25,1160	-303,3456	50,0000	64,1136	24,0568	133,3036	25,9179	-325,5568	86,2098	-51,7682	-380,0733	56,6035	-72,9333	-351,1473	47,3303	-71,0137	-329,9194	34,3900	64,4916	24,2458	139,1350	-21,7516	-307,2410	117,1209	-70,9695	-350,6395	77,4030	-90,1978	-322,2006	72,4680	-82,4001	-297,6273	35,7600	63,3600	31,6800	1,00	1,00	1,00	1,00	1,00	79,81	118,56	124,71	166,26	157,82	97,20	82,88	123,53	129,33	
