STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
430;0,0000;0,0000;0,0000;-58,1757;4,6778;-7,0171;-151,4329;-8,7503;-5,7036;-89,5045;-17,3622;14,1377;-138,5064;-35,8192;50,4991;-176,1134;-48,1277;62,9508;-193,8141;-55,3941;70,9566;11,3100;11,3100;-167,0583;9,0471;4,7024;-225,6976;-2,4580;9,5361;-250,3487;-6,9019;12,0178;-262,4107;-10,4184;12,7524;2,3200;23,6544;11,8272;-175,4254;-8,5121;-14,1578;-227,6774;-9,3682;-22,6264;-265,7639;-16,8652;-18,3386;-284,8151;-20,0127;-15,4342;17,4100;24,9375;20,4688;-168,9710;-18,4046;-38,3042;-216,7428;-37,7641;-29,9718;-239,4469;-40,4297;-28,4437;-250,8627;-39,9629;-27,6129;15,3800;23,5116;19,7558;-156,0859;-38,9768;-45,5443;-188,8370;-45,8704;-52,1291;-213,4140;-48,7569;-59,6806;-225,4286;-52,8691;-62,1472;23,4600;24,9711;12,4855;2,00;1,00;1,00;1,00;1,00;100,58;130,37;114,93;136,83;99,24;112,51;134,21;106,49;102,99;;0.43;2023-08-21 13:32:10.221926000
870;0,0000;0,0000;0,0000;-58,2650;4,8724;-6,0770;-151,8976;-5,6654;-5,2377;-90,3035;-16,7932;14,3898;-138,9632;-37,6804;49,8848;-176,3929;-51,0716;61,7381;-193,9953;-58,9700;69,3520;11,2350;11,2350;-166,9774;12,2960;5,6783;-226,6353;7,2374;8,7755;-251,7073;5,7370;10,4245;-264,1313;3,7441;10,6836;2,3700;24,2775;12,1388;-175,8560;-4,4269;-13,7006;-228,0719;-3,1614;-22,3366;-266,4177;-9,4178;-18,3860;-285,5803;-11,9679;-15,6328;17,6900;24,9424;20,4712;-169,6720;-13,7975;-38,1241;-218,3727;-31,1116;-30,7228;-241,1947;-32,7004;-29,4809;-252,5818;-31,6865;-28,7512;16,3600;23,6544;19,8272;-157,4232;-34,5391;-45,9601;-190,4173;-40,0286;-52,6500;-215,0952;-41,7880;-60,2186;-227,2581;-45,3796;-62,7695;23,6700;24,9804;12,4902;1,00;1,00;2,00;1,00;1,00;110,88;133,49;117,48;136,92;100,88;113,75;134,23;106,62;102,79;;0.87;2023-08-21 13:32:10.571926000
1300;0,0000;0,0000;0,0000;-58,4520;3,1750;-5,3549;-152,3256;-4,9268;-6,1846;-91,3529;-18,1571;14,0659;-144,0263;-49,2018;32,1094;-180,4000;-68,9885;29,6185;-197,7596;-80,3386;29,5187;8,6100;8,6100;-167,1055;13,1400;4,9645;-227,0302;14,1545;3,5000;-252,1666;15,4214;3,1543;-264,7151;14,8778;2,3607;7,7600;24,8400;12,4200;-176,1090;-2,8474;-14,9691;-228,0862;0,3597;-24,4926;-266,6817;-4,7297;-21,3950;-285,9651;-6,7162;-19,0539;18,1100;24,9516;20,4758;-169,7887;-11,7534;-39,5308;-217,3794;-31,8976;-32,0747;-236,8169;-41,9729;-25,3246;-245,9125;-46,8291;-20,3334;11,6000;0,3009;7,8495;-157,9583;-32,6026;-47,7152;-191,1949;-40,0094;-49,6994;-216,5122;-43,3704;-53,8339;-228,6884;-47,6776;-54,5611;15,7600;24,9471;12,4735;1,00;2,00;2,00;1,00;2,00;119,53;124,74;76,99;95,36;95,00;114,44;134,27;103,51;100,00;;1.3;2023-08-21 13:32:11.001926000
1730;0,0000;0,0000;0,0000;-58,5039;2,8976;-5,0162;-152,5546;-2,8833;-6,4032;-92,0526;-17,4598;14,3555;-143,4663;-45,6866;39,3504;-180,7109;-63,7819;41,9198;-198,4461;-74,1688;44,7261;8,8800;8,8800;-166,9544;15,6350;4,5077;-226,8075;17,5121;1,4816;-251,9075;19,1518;0,4721;-264,4395;18,7928;-0,6472;7,6900;24,8631;12,4316;-176,2252;-0,2851;-15,3619;-228,1883;3,2466;-24,8852;-266,8178;-1,5498;-21,6835;-286,1112;-3,3939;-19,2877;17,0600;24,8631;20,4315;-169,9698;-9,5420;-39,8140;-216,6318;-31,1138;-30,6346;-228,6181;-46,9195;-19,1655;-231,4512;-54,8549;-11,4028;7,6800;24,2804;4,1402;-158,6069;-30,7453;-47,7577;-189,6990;-44,7663;-48,4336;-213,7190;-54,0684;-50,8910;-224,4495;-61,2895;-50,5848;2,8100;22,5351;11,2676;2,00;2,00;150,00;2,00;1,00;122,70;129,58;67,92;99,63;99,00;114,11;134,18;94,61;102,63;;1.73;2023-08-21 13:32:11.431926000
2160;0,0000;0,0000;0,0000;-62,8597;3,7572;-5,3442;-163,8472;-4,2505;-5,3497;-98,2338;-18,5845;16,1661;-151,4444;-47,9867;47,8117;-191,2352;-66,8817;54,7886;-210,1131;-78,1482;58,5222;9,8700;9,8700;-179,5112;15,4774;6,4364;-243,9401;14,3348;5,0112;-270,9954;14,7990;4,6733;-284,4616;13,7660;3,8514;5,7300;24,9216;12,4608;-189,4711;-1,9869;-14,6402;-245,3485;-12,1681;-18,3204;-273,0797;-39,8849;-3,3001;-283,3605;-55,1218;6,8414;2,7800;0,0000;8,0000;-182,9410;-12,0366;-40,9373;-230,5779;-38,4543;-27,3704;-246,6255;-53,3038;-16,0266;-252,8890;-60,6585;-8,3874;3,5500;9,6921;3,1539;-170,4448;-34,6813;-49,4645;-206,4451;-41,2521;-51,8372;-233,7551;-44,0125;-56,3368;-246,9777;-48,2598;-57,0757;17,8600;24,4671;12,2336;1,00;2,00;2,00;1,00;2,00;130,25;92,55;81,32;124,96;108,08;122,30;130,46;105,45;107,35;;2.16;2023-08-21 13:32:11.871926000
2590;0,0000;0,0000;0,0000;-58,6385;3,9263;-5,0402;-152,9894;-2,2190;-5,4214;-92,0254;-16,4505;14,9110;-142,5511;-39,3786;46,7448;-180,5660;-53,8113;55,6462;-198,7543;-62,8079;60,2735;10,9200;10,9200;-167,3924;16,4026;5,5136;-205,0623;-26,4928;24,4866;-221,3046;-43,9432;32,8301;-228,7164;-53,5686;36,2801;45,9300;24,5644;12,2822;-176,8381;0,2268;-14,1894;-229,4998;-3,0136;-20,3731;-266,6345;-13,7309;-13,9068;-285,0887;-18,7875;-9,6897;9,3600;22,7500;19,3750;-170,7776;-9,2482;-38,7054;-217,4402;-30,3885;-27,7148;-238,1672;-38,1189;-21,4568;-248,4162;-41,1947;-17,2580;7,6100;9,2391;12,6195;-159,3815;-30,5490;-46,6096;-192,9850;-35,6891;-50,5972;-218,2909;-37,4136;-56,1311;-230,6922;-40,9801;-57,5399;19,7500;24,6031;12,3015;2,00;1,00;2,00;1,00;2,00;39,48;119,53;94,58;124,00;100,41;100,55;133,20;103,76;101,27;;2.59;2023-08-21 13:32:12.301926000
3020;0,0000;0,0000;0,0000;-58,4675;4,0281;-5,1087;-152,3015;-5,2777;-4,1100;-90,7622;-17,4240;15,2516;-139,4612;-44,1210;46,6496;-176,3739;-61,3427;54,6690;-193,7313;-71,1373;60,4695;10,0050;10,0050;-167,1228;12,7895;7,0302;-204,2490;-27,8686;30,8693;-218,0665;-45,9055;41,7457;-223,7666;-56,1057;46,4470;44,1100;18,4975;9,2487;-176,2820;-3,6368;-12,5001;-228,7699;-4,7327;-19,6276;-266,6054;-13,0354;-14,4297;-285,4959;-16,6786;-11,0023;13,9800;24,4224;20,2112;-170,2837;-12,8576;-37,0493;-216,9718;-34,0119;-26,8900;-238,9431;-39,2328;-22,9250;-250,0609;-40,4731;-20,4185;10,1300;17,7639;16,8820;-158,3244;-33,6990;-45,1265;-191,7687;-40,1737;-47,3252;-217,1707;-43,2426;-51,2903;-229,3844;-47,5012;-51,8297;18,5600;23,7679;11,8840;1,00;1,00;1,00;1,00;1,00;36,40;128,43;103,23;120,17;101,12;101,23;133,86;105,17;100,01;;3.02;2023-08-21 13:32:12.731926000
3460;0,0000;0,0000;0,0000;-58,4625;3,8238;-5,0343;-151,0677;-13,0213;0,0051;-88,0562;-19,6617;17,0723;-132,3640;-52,3792;49,2140;-166,5763;-74,1980;57,8997;-182,4434;-86,2570;63,6712;10,1400;10,1400;-166,8656;4,0445;11,3547;-222,6276;-15,2881;22,0101;-246,1665;-22,8099;26,8422;-257,5931;-27,7665;28,6775;8,9700;24,2431;12,1215;-175,4016;-13,5342;-7,4243;-227,9109;-17,3491;-13,1525;-265,1856;-27,2369;-6,9064;-283,8142;-31,6193;-2,9929;16,0100;24,7084;20,3542;-169,6358;-22,8309;-31,9881;-215,8109;-45,0248;-21,8162;-238,2082;-49,1138;-19,1876;-249,5724;-49,3927;-17,7407;14,2600;23,1504;19,5752;-156,3397;-42,8170;-40,1032;-189,3575;-51,1008;-42,4475;-214,5362;-55,1740;-46,8374;-226,5828;-59,8268;-47,6682;21,1500;24,8479;12,4240;1,00;2,00;1,00;1,00;1,00;101,46;133,06;111,77;122,65;101,99;111,30;134,08;106,49;100,83;;3.46;2023-08-21 13:32:13.161926000
3880;0,0000;0,0000;0,0000;-58,5048;3,7548;-4,3833;-152,1737;-6,3519;-2,2628;-90,3286;-18,1598;16,1620;-135,8860;-46,0538;50,9635;-171,6197;-63,8650;62,2328;-188,3412;-74,1563;68,9234;10,8300;10,8300;-166,9890;11,4639;9,2439;-226,9172;13,2584;8,6888;-252,0401;14,8507;8,7213;-264,6067;14,4653;8,1235;9,9300;24,8319;12,4159;-176,2585;-4,8321;-10,3184;-228,7886;-6,3020;-16,7705;-266,5369;-14,6999;-11,2954;-285,3965;-18,3375;-7,7678;13,9800;24,8775;20,4387;-170,5082;-13,7486;-35,0191;-199,0261;-52,9336;-15,5744;-215,0995;-66,9309;-7,1643;-223,8060;-72,6656;-2,4144;19,2700;18,9975;17,4988;-158,4892;-34,3916;-43,4562;-186,5057;-51,4867;-34,1531;-209,3515;-62,7595;-29,6254;-219,0801;-70,5397;-26,1328;7,1300;24,8775;12,4388;1,00;1,00;1,00;1,00;1,00;131,78;135,71;79,68;99,97;104,75;114,81;133,87;97,62;95,74;;3.88;2023-08-21 13:32:13.591926000
4310;0,0000;0,0000;0,0000;-58,4977;3,8494;-4,4212;-152,0409;-7,2193;-1,5550;-89,9571;-18,1019;16,6427;-135,6011;-44,0924;52,7823;-171,4952;-60,8429;65,1222;-188,4743;-70,8847;71,5395;11,0250;11,0250;-166,9744;10,6039;9,7880;-226,4046;5,2649;15,6778;-251,3876;3,8261;18,4200;-263,8033;1,9088;19,1984;1,8100;24,7296;12,3648;-176,1912;-6,0723;-9,4776;-214,1667;-41,4102;1,1280;-234,1277;-70,2735;18,2745;-244,2710;-84,1140;27,5984;30,3300;24,8556;20,4278;-170,5001;-15,2853;-34,0840;-208,0853;-46,4401;-15,5439;-228,0271;-55,3576;-8,6269;-238,5023;-58,1840;-4,9470;5,7600;22,3104;19,1552;-158,3135;-35,9205;-42,2989;-189,9207;-47,2943;-36,3479;-214,8504;-53,9871;-34,5432;-226,2117;-59,7300;-32,2353;6,2400;24,9375;12,4688;2,00;2,00;1,00;1,00;1,00;117,10;72,24;92,27;110,99;103,55;114,04;123,57;100,42;95,92;;4.31;2023-08-21 13:32:14.031926000
