STAMP;ROOT X;ROOT Y;ROOT Z;WRIST X;WRIST Y;WRIST Z;HAND X;HAND Y;HAND Z;THUMB1 X;THUMB1 Y;THUMB1 Z;THUMB2 X;THUMB2 Y;THUMB2 Z;THUMB3 X;THUMB3 Y;THUMB3 Z;THUMB4 X;THUMB4 Y;THUMB4 Z;THUMBFLEX1;THUMBFLEX2;INDEX1 X;INDEX1 Y;INDEX1 Z;INDEX2 X;INDEX2 Y;INDEX2 Z;INDEX3 X;INDEX3 Y;INDEX3 Z;INDEX4 X;INDEX4 Y;INDEX4 Z;INDEXFLEX1;INDEXFLEX2;INDEXFLEX3;MIDDLE1 X;MIDDLE1 Y;MIDDLE1 Z;MIDDLE2 X;MIDDLE2 Y;MIDDLE2 Z;MIDDLE3 X;MIDDLE3 Y;MIDDLE3 Z;MIDDLE4 X;MIDDLE4 Y;MIDDLE4 Z;MIDDLEFLEX1;MIDDLEFLEX2;MIDDLEFLEX3;RING1 X;RING1 Y;RING1 Z;RING2 X;RING2 Y;RING2 Z;RING3 X;RING3 Y;RING3 Z;RING4 X;RING4 Y;RING4 Z;RINGFLEX1;RINGFLEX2;RINGFLEX3;LITTLE1 X;LITTLE1 Y;LITTLE1 Z;LITTLE2 X;LITTLE2 Y;LITTLE2 Z;LITTLE3 X;LITTLE3 Y;LITTLE3 Z;LITTLE4 X;LITTLE4 Y;LITTLE4 Z;LITTLEFLEX1;LITTLEFLEX2;LITTLEFLEX3;PRESSURE1;PRESSURE2;PRESSURE3;PRESSURE4;PRESSURE5;DIST THUMB-INDEX;DIST THUMB-MIDDLE;DIST THUMB-RING;DIST THUMB-LITTLE;DIST PALM-THUMB;DIST PALM-INDEX;DIST PALM-MIDDLE;DIST PALM-RING;DIST PALM-LITTLE;Unnamed: 98;Seconds;Sample_Time
4750;0,0000;0,0000;0,0000;-47,0390;0,1298;35,3114;-121,8451;1,9735;92,6699;-59,8362;-11,1640;75,6315;-77,2557;-18,2552;136,5825;-101,2783;-26,0733;169,5164;-113,7121;-32,9055;184,6636;8,1450;8,1450;-128,6980;23,9367;104,5283;-170,4185;23,6652;147,6309;-187,3277;23,4513;166,2954;-195,7498;21,8006;175,5109;4,5600;21,9375;10,9688;-146,2755;3,9079;99,5507;-191,6864;3,7439;126,8239;-217,2316;-0,6023;156,0730;-229,5623;-2,0449;171,1598;9,7100;24,5376;20,2688;-155,0037;-12,3077;79,9474;-182,9478;-27,2742;121,4767;-196,7478;-30,3615;139,5200;-203,5099;-30,5223;148,7738;6,0000;16,1791;16,0896;-148,4905;-35,7599;72,8774;-175,9049;-40,3491;92,6831;-198,0364;-42,9713;105,8547;-207,4314;-46,5974;113,9866;15,9000;22,6284;11,3142;2,00;1,00;1,00;2,00;2,00;99,03;120,65;96,73;118,18;98,72;112,77;133,34;104,27;100,69;;4.75;2023-08-21 13:32:14.031926000
5180;0,0000;0,0000;0,0000;-47,2418;1,4453;35,0042;-124,1225;9,4055;88,9884;-62,3384;-7,7958;75,0478;-83,2021;-11,9662;135,1776;-109,2379;-17,3848;167,0433;-122,6848;-22,9494;181,8378;8,2050;8,2050;-130,1647;32,0932;99,8811;-173,5840;35,9480;141,0877;-191,2508;37,4740;158,9709;-200,1487;36,6970;167,8471;4,2800;22,0071;11,0035;-148,6608;12,9536;94,7446;-195,1445;16,4108;119,9038;-222,1746;14,6013;148,0619;-235,2285;14,4189;162,5965;9,9200;24,5775;20,2887;-157,5012;-3,3573;75,2733;-188,3378;-15,2771;115,7240;-203,4093;-16,7218;132,9353;-210,7842;-16,0157;141,6807;6,4200;17,1039;16,5520;-152,0835;-27,3572;69,1916;-180,7280;-29,7259;87,5932;-203,6927;-30,5668;99,5098;-213,7649;-33,3318;107,1536;16,3200;22,9264;11,4632;2,00;2,00;1,00;1,00;1,00;98,76;120,14;97,07;118,24;98,34;112,89;133,37;104,56;100,96;;5.18;2023-08-21 13:32:14.461926000
5610;0,0000;0,0000;0,0000;-47,3376;1,9116;34,8483;-127,8879;21,4562;79,7625;-67,0959;-2,5088;73,6649;-93,9239;0,1598;131,4671;-123,2078;-0,1659;160,8757;-138,4039;-3,1663;174,6853;8,4000;8,4000;-132,6393;45,4364;88,2600;-179,0446;56,8642;124,5059;-198,0031;61,4816;140,4264;-207,6852;62,2417;148,4407;4,3500;21,7600;10,8800;-152,3844;27,7347;82,6443;-200,5150;37,6760;102,3946;-230,2309;40,8270;127,5679;-244,6051;43,1170;140,5988;10,0600;24,6031;20,3015;-160,8952;10,7451;63,6129;-196,9335;5,5688;101,0758;-213,6567;6,9656;116,6904;-221,6896;9,0368;124,5986;7,1200;16,3564;16,1782;-157,3604;-14,0771;59,9183;-187,9274;-12,0985;74,9647;-212,0125;-9,7026;84,1413;-223,0928;-10,8238;90,7350;16,9500;22,9264;11,4632;1,00;2,00;1,00;1,00;1,00;98,83;120,76;97,95;119,49;98,63;112,91;133,39;104,71;101,13;;5.61;2023-08-21 13:32:14.881926000
6040;0,0000;0,0000;0,0000;-47,9595;2,1400;35,1615;-129,5344;21,5990;80,6094;-67,7969;-2,0884;74,5410;-95,0190;1,1770;132,9606;-124,3261;1,2394;163,0355;-139,4066;-1,4991;177,3857;9,1500;9,1500;-134,5666;45,9083;88,9443;-172,7476;38,5256;135,5376;-187,0264;33,9078;156,1301;-193,6768;29,7469;166,1687;26,1900;17,7639;8,8820;-154,3756;27,7311;83,5232;-178,8843;3,3885;124,4967;-180,7350;-17,6394;157,9228;-180,2993;-27,6210;174,9787;41,7400;18,2400;17,1200;-162,8629;10,2356;64,4884;-157,1452;-22,8886;105,2795;-135,8206;-31,9569;104,3136;-125,7217;-31,0311;98,6894;50,0000;63,5481;23,7740;-159,0396;-14,8827;61,0259;-168,6304;-34,6367;87,6736;-148,5559;-46,9817;99,1000;-135,9734;-47,5663;95,5186;38,9800;49,4769;24,7384;2,00;2,00;2,00;1,00;40,00;63,62;48,58;85,16;94,00;99,98;107,24;117,92;55,78;71,05;;6.04;2023-08-21 13:32:15.321926000
6470;0,0000;0,0000;0,0000;-54,0844;2,3366;39,5327;-146,1813;24,9888;90,0385;-76,8234;-2,3017;83,7065;-111,6483;8,1320;146,6589;-147,2844;11,9837;177,5284;-165,4858;10,9211;192,5950;8,2350;8,2350;-151,6804;52,4065;99,4303;-197,8168;46,7296;149,5609;-214,5544;41,5839;172,3042;-222,1443;36,6836;183,4555;22,9000;15,0775;7,5388;-174,1271;32,1401;93,1114;-198,8909;2,4044;139,4479;-178,7285;-26,8264;166,3235;-163,0133;-39,2213;176,0814;45,8000;11,3609;2,3196;-183,6925;12,5538;71,5596;-177,8607;-24,7566;117,5940;-153,7325;-34,5033;115,2678;-142,8484;-32,8888;108,2270;50,0000;66,9681;25,4841;-179,6068;-15,7722;67,6439;-186,8034;-39,1782;97,8656;-161,3371;-51,2564;106,5849;-148,1774;-50,0782;100,0242;45,0000;54,2100;27,1050;1,00;1,00;1,00;1,00;1,00;62,91;52,85;97,72;112,20;105,30;120,97;108,67;60,76;75,75;;6.47;2023-08-21 13:32:15.751926000
6910;0,0000;0,0000;0,0000;-51,0913;2,2959;37,3195;-137,8752;23,3410;85,5384;-72,3885;-2,3768;79,1011;-107,0404;11,2875;136,7785;-141,1169;17,6045;164,9745;-158,4137;18,1413;179,1013;9,2250;9,2250;-143,0366;49,1737;94,6087;-188,2818;46,3980;140,5921;-205,4877;43,3673;161,3217;-213,6263;39,7972;171,5566;19,5400;17,2159;8,6080;-164,2583;30,0688;88,5997;-191,9756;4,9942;131,6592;-183,1156;-21,5760;163,0389;-174,2120;-34,1642;177,3411;40,1300;0,4016;7,7992;-173,3756;11,7079;68,1566;-171,5059;-22,4255;112,8101;-149,3582;-33,2846;113,4814;-138,2214;-33,0938;108,1750;45,5900;63,1721;23,5861;-169,5268;-15,0184;64,2580;-179,2654;-35,5149;93,1493;-158,7299;-49,6040;105,6499;-145,3291;-51,2433;102,2075;39,4000;46,5716;23,2858;1,00;1,00;2,00;1,00;1,00;59,79;54,67;89,80;104,39;95,93;115,79;114,26;60,81;76,79;;6.91;2023-08-21 13:32:16.181926000
7340;0,0000;0,0000;0,0000;-47,0407;2,6774;35,4622;-124,7252;15,5305;87,7640;-63,1833;-4,3865;75,6680;-89,7775;1,6984;133,5095;-118,4457;3,1919;163,6377;-132,6804;1,6576;178,7364;9,4950;9,4950;-130,1750;38,9068;97,6279;-173,8904;39,8011;138,9242;-191,5710;39,9091;156,9522;-200,3691;38,3752;165,8767;9,3900;21,4656;10,7328;-149,2859;20,1623;92,9231;-193,2711;19,0942;122,6679;-216,4983;13,4563;153,7099;-227,4671;11,2141;169,7841;0,3700;22,8975;19,4487;-158,3754;3,3211;73,9249;-186,4920;-8,1430;116,6072;-192,3276;-15,4021;137,6195;-192,8825;-18,7581;148,5965;1,1000;9,2225;3,3888;-153,6806;-21,1469;68,9221;-179,6437;-24,2294;90,9981;-198,5967;-27,7431;108,3789;-205,2456;-32,1960;118,5955;7,5700;14,1759;7,0880;2,00;1,00;2,00;1,00;1,00;78,07;95,69;70,35;100,14;92,37;111,11;131,54;97,58;98,55;;7.34;2023-08-21 13:32:16.611926000
7770;0,0000;0,0000;0,0000;-46,7280;2,6933;35,6559;-124,3134;16,9409;87,3605;-63,2423;-4,1355;75,6442;-87,9205;0,4167;134,3128;-115,2952;1,5478;165,5130;-128,8257;-0,0760;181,1755;10,0800;10,0800;-129,3451;40,3439;97,2317;-175,0193;46,5903;135,6503;-193,8498;49,5210;152,1310;-203,4442;49,5475;160,2947;4,1400;23,1775;11,5887;-148,7551;22,0427;92,3580;-195,1018;27,4478;117,4743;-222,0553;26,9316;145,7817;-235,0220;27,3614;160,4001;7,6800;24,2944;20,1472;-158,0343;5,4763;73,2950;-190,1311;-1,1742;114,0027;-205,6148;-0,0887;130,8844;-213,1234;1,9086;139,3172;7,4700;17,7639;16,8820;-153,8101;-19,0134;68,2660;-182,7539;-19,2426;86,3749;-205,6133;-18,8572;98,5388;-215,6019;-21,1110;106,4642;15,6900;21,3900;10,6950;1,00;1,00;2,00;1,00;1,00;92,01;111,63;94,14;116,42;95,45;112,45;133,04;103,98;100,73;;7.77;2023-08-21 13:32:17.041926000
8200;0,0000;0,0000;0,0000;-46,8167;2,0245;35,5585;-125,7803;20,1119;83,8164;-65,3809;-3,9484;74,7647;-91,3453;0,8013;132,8414;-119,3960;2,7334;163,3805;-133,3062;1,5540;178,7401;10,1700;10,1700;-130,0814;43,7362;93,4859;-177,0884;53,2161;129,5379;-196,4650;57,4483;145,0653;-206,4114;58,1292;152,7608;3,2300;23,0679;11,5339;-150,1307;26,4130;87,7427;-197,4454;35,2495;109,8749;-226,0957;37,0180;136,3949;-239,9092;38,5802;150,1268;9,2900;24,4671;20,2335;-159,3661;10,3118;68,2740;-193,9571;5,5106;107,1397;-209,8578;6,9517;123,5938;-217,4122;9,0015;131,9687;8,1000;15,7584;15,8792;-156,1364;-14,3539;63,4039;-186,2126;-12,8986;79,4796;-209,8705;-11,0305;89,8298;-220,5954;-12,5735;96,9131;16,8800;22,0071;11,0035;2,00;1,00;2,00;2,00;2,00;96,02;116,42;96,52;120,48;97,01;112,69;133,28;104,11;101,14;;8.2;2023-08-21 13:32:17.471926000
8630;0,0000;0,0000;0,0000;-49,1681;0,6665;36,8609;-131,4208;13,3787;89,5583;-67,0806;-7,4403;78,1665;-93,0764;-7,0866;139,5324;-122,4910;-9,3248;171,3214;-136,6508;-12,4693;187,4397;8,5050;8,5050;-137,2507;37,5590;100,1744;-185,7015;42,3180;139,6486;-204,0506;41,4293;158,4897;-212,7042;38,7099;168,0205;4,4900;14,3071;7,1536;-157,1223;18,2247;94,3813;-206,5084;24,0676;118,6727;-228,9749;14,3672;151,3540;-237,3495;8,4255;168,9975;9,5700;7,0224;11,5112;-166,1673;1,1169;74,0040;-199,9237;-8,2560;115,8656;-189,1478;-22,9556;131,4060;-178,6433;-28,1653;133,8433;6,2800;62,7969;23,3985;-161,2574;-24,2972;68,4086;-191,5779;-25,5591;87,1362;-202,4719;-35,6584;109,7397;-200,3250;-43,9028;120,2431;14,9200;20,0241;10,0120;2,00;2,00;1,00;1,00;284,00;93,70;104,48;69,87;97,76;101,37;115,78;132,50;76,92;94,71;;8.63;2023-08-21 13:32:17.911926000
