STAMP	ROOT X	ROOT Y	ROOT Z	WRIST X	WRIST Y	WRIST Z	HAND X	HAND Y	HAND Z	THUMB1 X	THUMB1 Y	THUMB1 Z	THUMB2 X	THUMB2 Y	THUMB2 Z	THUMB3 X	THUMB3 Y	THUMB3 Z	THUMB4 X	THUMB4 Y	THUMB4 Z	THUMBFLEX1	THUMBFLEX2	INDEX1 X	INDEX1 Y	INDEX1 Z	INDEX2 X	INDEX2 Y	INDEX2 Z	INDEX3 X	INDEX3 Y	INDEX3 Z	INDEX4 X	INDEX4 Y	INDEX4 Z	INDEXFLEX1	INDEXFLEX2	INDEXFLEX3	MIDDLE1 X	MIDDLE1 Y	MIDDLE1 Z	MIDDLE2 X	MIDDLE2 Y	MIDDLE2 Z	MIDDLE3 X	MIDDLE3 Y	MIDDLE3 Z	MIDDLE4 X	MIDDLE4 Y	MIDDLE4 Z	MIDDLEFLEX1	MIDDLEFLEX2	MIDDLEFLEX3	RING1 X	RING1 Y	RING1 Z	RING2 X	RING2 Y	RING2 Z	RING3 X	RING3 Y	RING3 Z	RING4 X	RING4 Y	RING4 Z	RINGFLEX1	RINGFLEX2	RINGFLEX3	LITTLE1 X	LITTLE1 Y	LITTLE1 Z	LITTLE2 X	LITTLE2 Y	LITTLE2 Z	LITTLE3 X	LITTLE3 Y	LITTLE3 Z	LITTLE4 X	LITTLE4 Y	LITTLE4 Z	LITTLEFLEX1	LITTLEFLEX2	LITTLEFLEX3	PRESSURE1	PRESSURE2	PRESSURE3	PRESSURE4	PRESSURE5	DIST THUMB-INDEX	DIST THUMB-MIDDLE	DIST THUMB-RING	DIST THUMB-LITTLE	DIST PALM-THUMB	DIST PALM-INDEX	DIST PALM-MIDDLE	DIST PALM-RING	DIST PALM-LITTLE	
13370	0,0000	0,0000	0,0000	-22,1527	13,3072	-52,9514	-75,0819	6,2363	-130,8549	-58,7389	-5,4340	-68,2467	-121,6444	-10,0702	-78,4642	-160,3112	-11,7189	-93,6641	-179,0858	-15,0891	-101,9330	17,0100	17,0100	-90,8271	25,6298	-137,8041	-134,0831	24,8687	-179,5107	-153,0375	23,6162	-196,1152	-162,2278	21,3106	-204,4433	0,9900	20,1159	10,0580	-81,0269	7,6217	-155,6123	-103,9291	6,8696	-203,4741	-129,9240	-0,7604	-231,7291	-143,6188	-4,1173	-245,3032	13,7700	23,4124	19,7062	-58,1027	-4,0169	-163,6727	-87,0513	-26,7115	-200,9022	-99,7537	-32,0606	-219,2708	-106,5586	-33,2330	-228,4448	11,8100	19,6639	17,8319	-46,7299	-25,8232	-157,3636	-63,0487	-35,5332	-185,7954	-73,3133	-41,0570	-208,9608	-79,4360	-46,3265	-219,1035	13,0300	24,3916	12,1958	1,00	1,00	1,00	1,00	1,00	110,08	148,10	146,95	156,95	110,04	115,05	133,80	109,87	102,81	
13800	0,0000	0,0000	0,0000	-22,1960	13,5237	-52,8784	-75,4889	5,6234	-130,4536	-58,6570	-5,6725	-67,9062	-121,6049	-10,8627	-77,5816	-160,3874	-12,8633	-92,4406	-179,2184	-16,3917	-100,5131	17,0250	17,0250	-91,4902	24,8181	-137,3696	-134,9866	23,5409	-178,8127	-154,0270	22,0655	-195,3000	-163,2436	19,6514	-203,5682	0,9200	20,1159	10,0580	-81,5910	6,8667	-155,1803	-104,7301	5,7693	-202,9212	-130,7868	-2,1982	-231,0258	-144,5145	-5,7303	-244,5221	13,8400	23,4124	19,7062	-58,5844	-4,5391	-163,3381	-87,4338	-27,6473	-200,3897	-100,1409	-33,1541	-218,7085	-106,9601	-34,4037	-227,8616	11,8800	19,7559	17,8780	-46,9318	-26,1973	-157,0298	-63,2826	-36,1456	-185,3606	-73,5960	-41,8252	-208,4666	-79,7079	-47,1795	-218,5713	13,1000	24,4071	12,2036	1,00	1,00	1,00	1,00	1,00	110,34	148,51	147,52	157,44	110,19	115,08	133,81	109,91	102,81	
14230	0,0000	0,0000	0,0000	-21,9949	13,7882	-52,8915	-75,2011	7,1978	-130,6436	-58,7859	-4,6270	-68,0861	-121,7939	-8,5665	-77,9417	-160,5664	-9,7701	-92,9077	-179,4536	-12,8940	-101,0131	17,0250	17,0250	-90,7941	26,7294	-137,5450	-134,2020	26,5555	-179,0965	-153,2272	25,5562	-195,6354	-162,4719	23,3742	-203,9360	0,8500	20,1159	10,0580	-81,2031	8,6399	-155,3829	-104,2160	8,1545	-203,1926	-130,3369	0,8121	-231,4054	-144,0875	-2,3922	-244,9589	13,8400	23,4375	19,7188	-58,4058	-3,1979	-163,5094	-87,5753	-25,5662	-200,7610	-100,3065	-30,7122	-219,1664	-107,1018	-31,7656	-228,3614	11,9500	19,8471	17,9235	-47,2080	-25,1036	-157,2361	-63,6476	-34,6039	-185,6674	-73,9810	-39,9750	-208,8370	-80,1587	-45,1601	-218,9892	13,1700	24,4224	12,2112	1,00	1,00	1,00	1,00	1,00	110,44	148,60	147,68	157,54	110,23	115,11	133,81	109,93	102,81	
14660	0,0000	0,0000	0,0000	-22,2288	13,2799	-52,9211	-74,7777	5,7499	-131,0294	-58,4009	-6,0477	-68,4595	-121,2357	-11,5448	-78,6525	-159,8916	-13,6386	-93,8161	-178,6523	-17,1887	-102,0370	17,0250	17,0250	-90,8697	24,8857	-137,8904	-134,0268	23,8853	-179,6873	-152,9211	22,5276	-196,3488	-162,0548	20,1786	-204,7254	0,7800	20,1600	10,0800	-80,6744	7,1965	-155,7928	-103,3328	6,5169	-203,7668	-129,0437	-1,2609	-232,2361	-142,6040	-4,7035	-245,9211	13,9800	23,4624	19,7312	-57,5095	-3,9431	-163,8631	-85,7927	-26,8745	-201,4513	-98,2412	-32,2253	-219,9901	-104,9330	-33,3872	-229,2471	11,9500	19,9375	17,9688	-45,7407	-25,5701	-157,6727	-61,7223	-35,2957	-186,2867	-71,7459	-40,7617	-209,5688	-77,7078	-46,0315	-219,8053	13,2400	24,4375	12,2188	1,00	1,00	1,00	1,00	1,00	110,53	148,86	147,92	157,77	110,26	115,14	133,83	109,94	102,82	
15090	0,0000	0,0000	0,0000	-22,1672	13,1734	-52,9709	-74,8729	4,9776	-130,9019	-58,3352	-6,3344	-68,2874	-121,1793	-12,0247	-78,2995	-159,8632	-14,3018	-93,3605	-178,6487	-17,9331	-101,4864	17,0250	17,0250	-91,0161	24,0318	-137,8651	-134,2799	22,8285	-179,5427	-153,2169	21,3904	-196,1474	-162,3725	19,0010	-204,4878	0,6400	20,1600	10,0800	-80,8271	6,2334	-155,6609	-103,5898	5,1630	-203,5760	-129,3434	-2,8555	-231,9376	-142,9231	-6,4127	-245,5728	13,9800	23,4871	19,7435	-57,6598	-4,9198	-163,7017	-85,9688	-28,1274	-201,0976	-98,4322	-33,5985	-219,5901	-105,1310	-34,8179	-228,8340	12,0200	19,9824	17,9912	-45,8362	-26,4781	-157,3813	-61,8424	-36,4509	-185,8947	-71,8881	-42,1064	-209,1208	-77,8524	-47,4616	-219,3108	13,2400	24,4524	12,2262	1,00	1,00	1,00	1,00	1,00	110,63	148,90	148,01	157,84	110,27	115,19	133,83	109,95	102,83	
15530	0,0000	0,0000	0,0000	-21,9161	12,9242	-53,1340	-74,3896	4,8801	-131,2328	-58,2448	-6,2502	-68,4860	-121,1277	-11,2141	-78,6241	-159,7985	-13,0925	-93,7688	-178,6072	-16,5343	-101,9217	17,0250	17,0250	-90,2792	24,0788	-138,3760	-133,4018	23,2357	-180,2051	-152,2946	21,9631	-196,8719	-161,4497	19,6525	-205,2344	0,5700	20,1600	10,0800	-80,2261	6,0576	-156,0226	-102,7729	5,0241	-204,0382	-128,4824	-2,8087	-232,4894	-142,0354	-6,2589	-246,1775	14,0500	23,5116	19,7558	-57,1587	-5,4127	-163,8996	-85,5596	-28,5228	-201,2832	-97,9936	-33,9499	-219,8073	-104,6579	-35,1389	-229,0796	12,0200	20,0271	18,0135	-45,6149	-27,0686	-157,4024	-61,5969	-36,9930	-185,9447	-71,5939	-42,6447	-209,1915	-77,5708	-47,9795	-219,3842	13,3100	24,4524	12,2262	1,00	1,00	1,00	1,00	1,00	110,80	149,17	148,27	158,10	110,36	115,21	133,84	109,96	102,83	
15960	0,0000	0,0000	0,0000	-21,8693	13,3956	-53,0339	-74,4915	5,8084	-131,0739	-58,2535	-5,6477	-68,4125	-121,1801	-10,4138	-78,3575	-159,9060	-12,1229	-93,3766	-178,7639	-15,4639	-101,4552	17,0250	17,0250	-90,3632	25,0651	-138,0963	-133,5593	24,4897	-179,8506	-152,4829	23,3265	-196,4891	-161,6561	21,0704	-204,8460	0,5700	20,1600	10,0800	-80,3698	7,1139	-155,8464	-103,0023	6,3460	-203,8243	-128,7688	-1,2960	-232,2739	-142,3471	-4,6492	-245,9599	14,0500	23,5359	19,7680	-57,3353	-4,3537	-163,8190	-85,8022	-27,2036	-201,3094	-98,2455	-32,4771	-219,8706	-104,9066	-33,5818	-229,1549	12,0900	20,1159	18,0579	-45,8141	-26,0576	-157,4467	-61,8420	-35,8298	-186,0142	-71,8662	-41,3517	-209,2794	-77,8571	-46,6253	-219,4951	13,3100	24,4816	12,2408	1,00	1,00	1,00	1,00	1,00	110,98	149,41	148,63	158,39	110,47	115,21	133,84	109,98	102,85	
16390	0,0000	0,0000	0,0000	-21,9582	13,3735	-53,0027	-74,7382	5,1814	-130,8748	-58,2241	-6,0084	-68,2375	-121,1569	-11,2750	-77,8858	-159,9407	-13,3015	-92,7147	-178,8115	-16,7982	-100,6969	17,0400	17,0400	-90,7923	24,2887	-137,8904	-134,1208	23,2784	-179,4991	-153,0893	21,9278	-196,0722	-162,2712	19,5803	-204,3942	0,5700	20,1600	10,0800	-80,6985	6,3863	-155,6328	-103,4613	5,3286	-203,5435	-129,2438	-2,5894	-231,9029	-142,8325	-6,0854	-245,5429	14,0500	23,5359	19,7680	-57,5907	-4,9024	-163,6487	-85,9818	-28,0627	-201,0059	-98,4305	-33,4628	-219,5270	-105,1043	-34,6311	-228,7944	12,0900	20,1600	18,0800	-45,8681	-26,4950	-157,2656	-61,8639	-36,4354	-185,7930	-71,8829	-42,0687	-209,0338	-77,8472	-47,4045	-219,2327	13,3800	24,4816	12,2408	1,00	1,00	1,00	1,00	1,00	111,13	149,63	148,86	158,69	110,57	115,21	133,84	109,98	102,87	
16820	0,0000	0,0000	0,0000	-21,8652	13,4650	-53,0154	-74,7242	5,3989	-130,8427	-58,2356	-5,7592	-68,1957	-121,2171	-10,6707	-77,6963	-160,0437	-12,4900	-92,4355	-178,9654	-15,8724	-100,3439	17,0400	17,0400	-90,6838	24,5740	-137,8851	-134,0301	23,7868	-179,4768	-153,0056	22,5523	-196,0493	-162,2008	20,2651	-204,3727	0,5000	20,2039	10,1019	-80,6907	6,5885	-155,5989	-103,4547	5,6155	-203,5086	-129,2731	-2,1701	-231,8699	-142,8757	-5,5925	-245,5136	14,1200	23,5600	19,7800	-57,6457	-4,8320	-163,6053	-86,1615	-27,9217	-200,9084	-98,6353	-33,2814	-219,4233	-105,3116	-34,4241	-228,6915	12,0900	20,2039	18,1019	-46,0303	-26,4713	-157,1887	-62,0905	-36,3822	-185,6886	-72,1496	-42,0069	-208,9130	-78,1460	-47,3309	-219,0986	13,3800	24,4816	12,2408	1,00	1,00	1,00	1,00	1,00	111,40	149,94	149,14	158,92	110,67	115,24	133,85	109,98	102,87	
17250	0,0000	0,0000	0,0000	-21,9130	13,0833	-53,0887	-74,3913	5,2261	-131,1901	-58,2304	-6,0659	-68,4844	-121,1880	-10,8265	-78,2010	-159,9685	-12,5320	-93,0700	-178,8705	-15,8571	-101,0475	17,0400	17,0400	-90,2905	24,4337	-138,2770	-133,4213	23,8566	-180,0922	-152,3188	22,6929	-196,7574	-161,4787	20,4366	-205,1272	0,4300	20,1600	10,0800	-80,2325	6,4681	-155,9727	-102,7576	5,6109	-203,9951	-128,4387	-2,0762	-232,5055	-141,9731	-5,4466	-246,2287	14,1200	23,5839	19,7920	-57,1634	-4,9672	-163,8844	-85,4970	-27,9099	-201,4135	-97,8645	-33,1859	-220,0224	-104,4827	-34,2829	-229,3372	12,1600	20,2476	18,1238	-45,6082	-26,6322	-157,4494	-61,5071	-36,4452	-186,0718	-71,4282	-41,9893	-209,3737	-77,3669	-47,2746	-219,6125	13,4500	24,4959	12,2479	1,00	1,00	1,00	1,00	1,00	111,59	150,16	149,44	159,21	110,77	115,25	133,85	110,00	102,88	
